episode,reward,step,sensitive,compromised,time
0,-111,11,0,0,21.536
1,-128,28,0,0,39.036
2,-111,11,0,0,19.491999999999997
3,-101,1,0,0,4.420999999999999
4,-146,64,0,1,81.092
5,-130,45,0,0,57.43
6,-140,151,0,0,179.498
7,-242,148,0,0,169.544
8,-135,44,0,0,56.06
9,-186,101,0,0,121.764
10,-147,155,0,1,178.134
11,-141,152,0,1,175.013
12,-133,156,0,2,187.484
13,-211,129,0,1,154.92000000000002
14,-131,151,0,1,180.734
15,-140,154,0,1,178.07
16,-28,155,1,2,186.18699999999998
17,-176,82,0,0,94.366
18,-136,153,0,1,181.948
19,-133,153,0,2,176.613
20,-43,155,1,1,186.272
21,-167,79,0,1,97.488
22,-148,156,0,0,180.522
23,-215,130,0,1,154.82399999999998
24,-41,156,1,1,188.838
25,-218,127,0,1,155.834
26,-149,157,0,0,180.47199999999998
27,-141,158,0,1,191.45100000000002
28,-146,160,0,1,185.367
29,-169,78,0,0,92.42
30,-152,157,0,0,185.847
31,-154,159,0,0,183.703
32,-100,0,0,0,5.7
33,-155,160,0,0,186.18599999999998
34,-154,159,0,0,183.79999999999998
35,-152,157,0,0,181.12300000000002
36,-153,155,0,0,186.26000000000002
37,-149,163,0,1,187.87699999999998
38,-193,99,0,0,117.173
39,-150,155,0,0,179.758
40,-154,156,0,0,179.188
41,-154,156,0,0,184.555
42,-156,161,0,0,198.564
43,-152,160,0,0,186.17700000000002
44,-53,162,1,2,193.885
45,-158,157,0,0,186.531
46,-155,160,0,0,185.74099999999999
47,-151,159,0,0,184.95000000000002
48,-41,156,1,2,181.71300000000002
49,-149,157,0,0,197.676
50,-153,161,0,0,191.609
51,-53,162,1,1,187.19
52,-148,159,0,1,191.078
53,-169,75,0,0,92.347
54,-152,157,0,0,182.064
55,-145,159,0,1,190.532
56,-48,160,1,1,192.045
57,-156,161,0,0,192.653
58,-191,100,0,0,118.82
59,-161,163,0,0,197.795
60,-176,85,0,0,111.69900000000001
61,-60,166,1,1,195.509
62,-158,160,0,0,191.14100000000002
63,-164,169,0,0,198.034
64,-159,164,0,0,193.77
