episode,reward,step,sensitive,compromised,time
0,-104,4,0,0,384.364
1,-113,13,0,0,20.386000000000003
2,-201,116,0,1,148.215
3,-180,86,0,0,109.758
4,-160,66,0,0,84.662
5,-162,68,0,0,87.33200000000001
6,-149,61,0,0,78.55
7,-120,26,0,0,34.463
8,-185,97,0,0,124.727
9,-141,41,0,0,53.129000000000005
10,-136,156,0,1,203.17499999999998
11,-102,2,0,0,3.9230000000000005
12,-103,3,0,0,5.197
13,-179,91,0,0,116.8
14,-125,28,0,0,36.970000000000006
15,-134,34,0,0,44.456
16,-148,57,0,0,74.034
17,-149,52,0,0,68.39399999999999
18,-38,153,1,1,196.196
19,-152,61,0,0,78.99000000000001
20,-109,12,0,0,16.584000000000003
21,-134,40,0,0,52.157000000000004
22,-204,110,0,0,144.528
23,-107,7,0,0,10.522
24,-125,34,0,0,45.294000000000004
25,-144,155,0,0,197.726
26,-148,57,0,0,74.11800000000001
27,-164,67,0,0,86.48400000000001
28,-142,51,0,0,66.092
29,-151,51,0,0,66.308
30,-119,22,0,0,29.168
31,-125,34,0,0,44.498000000000005
32,-110,10,0,0,14.131
33,-113,19,0,0,25.616
34,-129,32,0,0,42.048
35,-111,17,0,0,22.977999999999998
36,-151,54,0,0,69.981
37,-154,63,0,0,81.576
38,-119,28,0,0,37.178000000000004
39,-127,143,1,1,185.984
40,-128,34,0,0,45.487
41,-132,38,0,0,52.777
42,-181,87,0,0,116.11399999999999
43,-114,14,0,0,19.104
44,-119,22,0,0,29.402
45,-112,12,0,0,16.559
46,-87,106,1,2,136.47
47,-138,47,0,0,60.966
48,-141,152,0,0,193.629
49,-142,54,0,0,69.888
50,-42,154,1,2,198.001
51,-119,31,0,1,41.31
52,-100,0,0,0,1.398
53,-109,9,0,0,12.834999999999999
54,-116,22,0,0,29.432
55,-162,80,0,1,103.527
56,-175,78,0,0,100.542
57,-187,102,0,0,132.029
58,-79,92,1,1,118.424
59,-119,22,0,0,29.4
60,70,155,2,2,199.32
61,-162,65,0,0,84.414
62,-151,54,0,0,70.788
63,-117,20,0,0,27.156
64,-149,160,0,0,206.64499999999998
65,-128,34,0,0,44.89
66,-116,19,0,0,25.787000000000003
67,-81,118,1,4,152.568
68,-150,53,0,0,69.06700000000001
69,-131,37,0,0,48.796
70,-219,125,0,0,161.626
71,-139,45,0,0,59.329
72,-115,21,0,0,28.412
73,-130,39,0,1,51.5
74,-187,102,0,1,132.34
75,-136,39,0,0,51.369
76,-129,32,0,0,42.647
77,-101,1,0,0,2.7169999999999996
78,-166,69,0,0,89.652
79,-126,26,0,0,34.753
80,-156,65,0,0,84.926
81,-165,74,0,0,98.911
82,-145,45,0,0,59.007
83,-140,46,0,0,60.515
84,-37,47,1,2,61.788000000000004
85,-236,148,0,0,192.229
86,-126,32,0,0,42.861000000000004
87,-114,20,0,0,27.400000000000002
88,-181,96,0,1,127.407
89,-117,32,0,0,43.015
90,-144,44,0,0,59.108000000000004
91,-159,68,0,0,89.516
92,-118,18,0,0,24.666
93,-102,2,0,0,3.9839999999999995
94,-106,9,0,0,13.082999999999998
95,-181,93,0,0,122.057
96,-108,14,0,0,19.677
97,-114,14,0,0,19.708
98,-104,10,0,0,14.536999999999999
99,-116,19,0,0,26.212
100,-108,8,0,0,12.226
101,-114,23,0,0,32.781
102,-183,98,0,1,133.613
103,-164,67,0,0,91.192
104,-142,54,0,0,74.004
105,-113,16,0,0,23.078999999999997
106,-109,9,0,0,13.547
107,-121,24,0,0,33.612
108,-115,18,0,0,25.625
109,-244,156,0,0,205.573
110,-124,30,0,0,42.126999999999995
111,-202,114,0,0,152.139
112,-114,14,0,0,19.646
113,-122,28,0,0,37.78
114,-211,126,0,1,166.265
115,-193,111,0,1,145.50199999999998
116,-179,100,0,1,131.302
117,-159,71,0,0,94.163
118,-88,101,1,1,133.03699999999998
119,-111,136,1,2,178.648
120,-176,88,0,0,115.812
121,-185,97,0,0,128.477
122,-107,10,0,0,14.637
123,-103,6,0,0,9.459999999999999
124,-146,55,0,0,73.42999999999999
125,-109,12,0,0,17.135
126,-112,15,0,0,20.934
127,-103,3,0,0,5.3020000000000005
128,-202,108,0,0,144.38
129,-123,26,0,0,35.765
130,-145,51,0,0,68.559
131,-144,152,0,0,203.21
132,-103,3,0,0,5.6049999999999995
133,-165,80,0,1,108.21
134,-164,70,0,0,94.79799999999999
135,-120,29,0,0,40.764
136,-125,28,0,0,40.255
137,-151,51,0,0,68.763
138,-138,47,0,1,64.206
139,-141,149,0,0,276.125
140,-104,4,0,0,7.005
141,-95,129,1,2,173.799
142,-146,55,0,0,75.41799999999999
143,-138,41,0,0,56.352
144,-106,6,0,0,9.697000000000001
145,-100,0,0,0,1.489
146,-114,23,0,0,32.333
147,-139,45,0,0,62.233
148,-121,24,0,0,33.349999999999994
149,-166,72,0,0,97.893
150,-123,139,1,2,187.366
151,-162,71,0,0,95.97200000000001
152,-114,20,0,0,28.07
153,-116,22,0,0,30.566
154,-122,28,0,0,38.551
155,-26,156,1,3,208.46200000000002
156,-148,57,0,0,77.14
157,-173,94,0,1,126.356
158,-133,36,0,0,49.494
159,-139,57,0,1,78.291
160,-125,28,0,0,38.876
161,-94,128,1,3,165.744
162,-196,105,0,0,142.858
163,-38,156,1,1,209.857
164,-214,120,0,0,164.252
165,-197,103,0,0,141.203
166,-179,91,0,0,122.986
167,-36,157,1,3,213.10299999999998
168,-78,91,1,1,123.217
169,-129,32,0,0,43.878
170,-125,28,0,0,38.876
171,-175,87,0,0,117.271
172,-152,55,0,0,74.322
173,-100,0,0,0,1.557
174,-166,72,0,0,97.283
175,-105,14,0,0,20.189
176,-79,89,1,1,121.104
177,-140,154,0,0,208.318
178,-157,66,0,0,92.878
179,-112,18,0,0,25.478
180,-222,131,0,0,178.63299999999998
181,-145,51,0,0,70.732
182,-125,28,0,0,39.444
183,-207,116,0,0,158.641
184,-113,22,0,0,31.541
185,-108,14,0,0,20.625
186,-106,9,0,0,13.575000000000001
187,-76,89,1,1,121.2
188,-151,60,0,0,81.21499999999999
189,-27,154,1,3,207.137
190,-124,30,0,0,41.329
191,-142,42,0,0,57.294
192,-178,93,0,1,125.11800000000001
193,-176,88,0,0,121.02499999999999
194,-101,1,0,0,2.879
195,-116,19,0,0,27.321
196,-129,32,0,0,44.695
197,-192,95,0,0,127.746
198,-106,6,0,0,9.488999999999999
199,-134,34,0,0,46.407
200,-109,9,0,0,13.542
201,-110,16,0,0,22.735
202,-181,99,0,1,137.428
203,-167,76,0,0,103.213
204,-115,146,1,3,197.965
205,-126,29,0,0,41.165
206,-133,149,1,2,203.17499999999998
207,-138,50,0,0,68.84400000000001
208,-117,20,0,0,28.038
209,-47,60,1,1,83.225
210,-142,48,0,0,65.665
211,-155,64,0,0,87.275
212,-100,0,0,0,1.4549999999999998
213,-150,158,0,0,212.88000000000002
214,-114,17,0,0,24.334999999999997
215,-112,21,0,0,29.508
216,-146,151,0,0,203.03799999999998
217,-225,134,0,0,180.58599999999998
218,-191,97,0,0,130.78500000000003
219,-126,32,0,0,44.425
220,-219,128,0,0,174.58599999999998
221,-35,156,1,2,212.18699999999998
222,-141,47,0,0,64.744
223,-100,0,0,0,1.509
224,-104,7,0,0,11.114
225,-88,116,1,3,158.85299999999998
226,-125,28,0,0,39.955999999999996
227,-37,50,1,1,68.46900000000001
228,-131,37,0,0,51.068000000000005
229,-200,112,0,0,151.846
230,-80,93,1,1,126.58
231,-219,131,0,0,178.106
232,-110,13,0,0,19.112000000000002
233,-156,59,0,0,80.734
234,-122,28,0,0,39.129999999999995
235,71,151,2,2,206.74300000000002
236,-159,68,0,0,93.56
237,-139,48,0,0,66.22500000000001
238,-196,105,0,0,142.774
239,-94,122,1,3,167.89100000000002
240,-141,155,0,1,210.2
241,-95,111,1,2,151.80599999999998
242,-32,156,1,3,202.484
243,-125,25,0,0,34.772999999999996
244,-210,119,0,0,164.663
245,-182,91,0,0,123.182
246,-135,155,0,1,210.312
247,-237,146,0,0,196.107
248,-192,101,0,0,135.992
249,-108,8,0,0,12.331999999999999
250,-117,17,0,0,24.171000000000003
251,-83,117,1,3,158.194
252,-148,54,0,0,74.612
253,-164,79,0,1,107.48299999999999
254,-146,49,0,0,67.501
255,-136,45,0,0,64.941
256,-179,85,0,0,118.294
257,-164,94,0,3,128.312
258,-106,122,1,1,171.91699999999997
259,-111,14,0,0,20.531000000000002
260,-32,150,1,1,204.52
261,-146,64,0,1,87.348
262,-128,28,0,0,38.634
263,-110,10,0,0,14.959
264,-209,115,0,0,157.609
265,-140,43,0,0,60.671
266,-157,60,0,0,82.088
267,-115,30,0,1,42.137
268,-149,52,0,0,71.389
269,-177,83,0,0,113.598
270,-147,56,0,0,81.08500000000001
271,-157,66,0,0,90.313
272,-40,158,1,2,201.829
273,-44,54,1,1,71.98
274,-133,45,0,1,59.339999999999996
275,-144,155,0,0,202.48
276,-162,65,0,0,91.37299999999999
277,-115,18,0,0,24.995
278,-137,52,0,0,70.378
279,-142,48,0,0,64.78299999999999
280,-109,146,1,3,193.561
281,-129,32,0,0,48.617
282,-37,152,1,1,195.723
283,-184,93,0,0,123.442
284,-132,38,0,0,50.717
285,-134,40,0,0,53.732
286,-116,22,0,0,30.588
287,-153,74,0,2,96.97699999999999
288,-175,81,0,0,107.654
289,-138,41,0,0,54.209
290,-101,1,0,0,2.779
291,-129,32,0,0,42.55
292,-93,106,1,1,139.04500000000002
293,-101,117,1,2,153.513
294,-138,38,0,0,50.583999999999996
295,-171,74,0,0,98.193
296,-118,21,0,0,28.607
297,-168,71,0,0,93.16099999999999
298,-165,74,0,0,101.66600000000001
299,-154,60,0,0,78.113
300,-157,63,0,0,81.28299999999999
301,-166,69,0,0,91.907
302,-92,105,1,2,142.21
303,-146,52,0,0,68.97699999999999
304,-143,154,0,0,199.043
305,-108,11,0,0,15.681000000000001
306,-44,156,1,1,202.732
307,16,125,2,4,164.779
308,-195,104,0,0,138.077
309,-147,50,0,0,67.217
310,-195,104,0,0,139.078
311,-212,118,0,0,157.222
312,-116,22,0,0,30.694
313,-85,101,1,1,136.347
314,-125,147,1,2,196.912
315,-105,5,0,0,8.126
316,-143,154,0,0,204.294
317,-108,26,0,1,35.803000000000004
318,-122,22,0,0,30.131999999999998
319,-194,106,0,1,139.571
320,-190,120,0,2,159.319
321,-184,93,0,0,133.109
322,-117,29,0,0,48.395
323,-67,104,1,3,138.889
324,-131,37,0,0,50.024
325,-132,35,0,0,47.335
326,-108,121,1,2,168.246
327,-21,157,1,3,213.04500000000002
328,-138,38,0,0,51.786
329,-161,64,0,0,87.044
330,-124,24,0,0,33.013
331,-103,3,0,0,5.614
332,-128,34,0,0,46.198
333,-137,43,0,0,64.774
334,-145,51,0,0,66.48
335,-105,5,0,0,7.814
336,-233,145,0,0,193.359
337,-127,33,0,0,45.684000000000005
338,-119,25,0,0,35.055
339,-102,5,0,0,8.272
340,-107,10,0,0,14.984
341,-168,71,0,0,96.439
342,-171,77,0,0,103.89099999999999
343,-142,48,0,0,65.539
344,-103,3,0,0,5.589
345,-48,76,1,2,102.73400000000001
346,-38,153,1,1,204.217
347,-189,101,0,1,135.963
348,-114,14,0,0,20.119
349,-141,53,0,0,71.66799999999999
350,-103,6,0,0,9.671000000000001
351,-118,18,0,0,25.433999999999997
352,-36,157,1,1,210.235
353,-117,17,0,0,24.198999999999998
354,-105,8,0,0,12.408000000000001
355,-129,38,0,0,50.893
356,-162,68,0,0,93.072
357,-44,156,1,1,211.405
358,-146,52,0,0,71.679
359,-118,24,0,0,33.851
360,-48,58,1,1,185.864
361,-165,77,0,0,96.07000000000001
362,-192,101,0,0,131.415
363,-127,42,0,0,55.426
364,-93,112,1,2,149.51700000000002
365,-111,14,0,0,18.976
366,-112,134,1,2,169.58599999999998
367,-149,61,0,0,77.62299999999999
368,-114,14,0,0,19.014
369,-57,76,1,2,97.611
370,-143,52,0,0,66.908
371,-114,17,0,0,22.967000000000002
372,-163,69,0,0,88.81
373,-142,48,0,0,62.522999999999996
374,-187,96,0,0,122.792
375,-102,2,0,0,3.999
376,-102,2,0,0,4.0200000000000005
377,-166,81,0,1,104.152
378,-40,155,1,1,201.15800000000002
379,-111,14,0,0,20.023
380,-108,11,0,0,19.720000000000002
381,-124,33,0,0,45.746
382,-145,159,0,1,215.512
383,-123,26,0,0,35.26
384,-101,1,0,0,2.791
385,-143,52,0,0,76.014
386,-183,101,0,2,133.03300000000002
387,-102,2,0,0,4.136
388,-134,147,1,1,194.792
389,-220,132,0,0,175.544
390,-32,153,1,3,196.84699999999998
391,-137,43,0,0,57.525
392,-162,68,0,0,91.173
393,-15,25,1,1,34.375
394,-132,47,0,0,63.742999999999995
395,-176,88,0,0,118.512
396,-44,60,1,1,81.58200000000001
397,-110,13,0,0,19.921999999999997
398,-54,76,1,2,102.85600000000001
399,-49,80,1,3,110.564
400,-152,61,0,0,83.206
401,-132,41,0,0,60.521
402,-175,90,0,0,127.01499999999999
403,-188,103,0,1,138.904
404,-149,157,0,0,200.45
405,-116,22,0,0,28.972
406,-117,23,0,0,30.216
407,-147,158,0,0,198.14499999999998
408,-141,47,0,0,60.015
409,-106,6,0,0,8.998000000000001
410,-114,23,0,0,35.891
411,-162,77,0,1,102.54199999999999
412,-116,147,1,3,193.819
413,-26,156,1,3,205.59900000000002
414,-150,53,0,0,71.45400000000001
415,-64,80,1,1,106.73
416,-144,155,0,0,207.042
417,-203,121,0,1,160.64600000000002
418,-142,48,0,0,65.444
419,-173,94,0,2,126.04299999999999
420,-110,13,0,0,19.026
421,-36,157,1,1,207.504
422,-115,21,0,0,28.509
423,-86,105,1,2,132.572
424,-146,49,0,0,62.738
425,-135,38,0,0,48.499
426,-115,140,1,2,178.57600000000002
427,-158,64,0,0,81.497
428,-38,156,1,2,197.329
429,-146,157,0,0,204.587
430,-23,153,1,3,213.029
431,-113,16,0,0,22.797
432,-148,60,0,0,80.716
433,-130,39,0,0,52.446
434,-158,67,0,0,89.89
435,-153,59,0,0,78.872
436,-181,93,0,0,124.31
437,-119,19,0,0,26.572
438,-198,110,0,0,146.985
439,-111,11,0,0,16.157
440,-136,42,0,0,58.013000000000005
441,-148,54,0,0,72.267
442,-100,0,0,0,1.435
443,-141,47,0,0,62.89
444,-189,92,0,0,124.142
445,-39,154,1,1,207.206
446,-130,39,0,0,54.437
447,-103,3,0,0,5.3759999999999994
448,-144,155,0,0,204.284
449,-237,149,0,0,197.243
450,-115,24,0,0,33.269
451,-143,157,0,1,211.06
452,-78,91,1,1,121.797
453,-159,71,0,0,94.83900000000001
454,-165,74,0,0,99.43100000000001
455,-103,3,0,0,5.7010000000000005
456,-168,83,0,1,111.637
457,-125,28,0,0,38.991
458,-156,74,0,1,99.97699999999999
459,-27,157,1,3,207.269
460,-171,77,0,0,103.325
461,-136,42,0,0,57.059
462,-83,96,1,1,128.93699999999998
463,-85,98,1,1,131.009
464,-24,154,1,3,205.225
465,-138,155,0,1,213.57999999999998
466,-110,16,0,0,22.971
467,-41,156,1,1,210.591
468,-128,31,0,0,43.015
469,-135,47,0,0,63.925
470,-201,107,0,0,144.234
471,-35,153,1,2,205.003
472,-88,113,1,2,151.671
473,-65,93,1,3,124.16499999999999
474,-191,106,0,0,142.37199999999999
475,-73,98,1,2,131.28400000000002
476,-183,92,0,0,129.94
477,-98,1,0,0,3.021
478,-153,62,0,0,82.941
479,-121,24,0,0,33.211999999999996
480,-106,128,1,2,171.187
481,-158,70,0,0,93.871
482,-112,24,0,0,33.271
483,-31,155,1,2,208.123
484,-121,137,1,2,181.53900000000002
485,-113,19,0,0,26.887
486,-139,45,0,0,61.25
487,-138,41,0,0,56.103
488,-116,138,1,2,184.78300000000002
489,-124,24,0,0,33.202000000000005
490,-107,7,0,0,10.940999999999999
491,-100,134,1,4,178.999
492,-126,29,0,0,39.784
493,-102,2,0,0,4.21
494,-119,25,0,0,34.291000000000004
495,-61,74,1,1,99.215
496,-129,29,0,0,39.352
497,-104,129,1,2,170.157
498,-83,114,1,3,150.68300000000002
499,-111,11,0,0,16.305
500,-103,3,0,0,5.711
501,-130,33,0,0,44.69
502,-64,98,1,2,134.334
503,-27,40,1,1,54.135999999999996
504,-232,153,0,1,204.509
505,-75,94,1,1,126.20400000000001
506,-118,137,1,1,183.781
507,18,105,2,2,141.373
508,-71,81,1,1,111.015
509,-111,14,0,0,19.293000000000003
510,-136,42,0,0,54.620000000000005
511,-66,76,1,1,106.58
512,-122,25,0,0,34.893
513,-181,90,0,0,123.212
514,-103,3,0,0,5.381
515,-140,46,0,0,59.603
516,-149,157,0,0,200.406
517,-128,34,0,0,44.884
518,-169,78,0,0,101.94300000000001
519,-76,95,1,1,127.56
520,-102,136,1,3,183.451
521,-131,31,0,0,43.818000000000005
522,-186,107,0,1,146.976
523,-133,42,0,0,58.15
524,-141,56,0,1,77.167
525,-69,85,1,1,115.419
526,-144,53,0,0,72.83399999999999
527,-205,120,0,1,160.87199999999999
528,-127,33,0,0,43.888000000000005
529,-133,42,0,0,55.619
530,-117,26,0,0,34.738
531,-172,78,0,0,100.335
532,-115,21,0,0,28.250999999999998
533,-111,11,0,0,15.288
534,-145,51,0,0,68.892
535,-103,3,0,0,6.998
536,-125,31,0,0,42.986999999999995
537,-121,140,1,2,189.658
538,-101,1,0,0,2.84
539,-116,19,0,0,26.852
540,-158,67,0,0,91.464
541,-184,93,0,0,125.424
542,-195,128,0,2,172.85
543,-100,0,0,0,1.4400000000000002
544,-183,95,0,0,128.72
545,-115,149,1,3,202.50799999999998
546,-147,158,0,0,214.543
547,-207,134,0,2,181.42
548,-161,70,0,0,95.478
549,-150,56,0,0,76.57799999999999
550,-133,39,0,0,54.021
551,-172,81,0,0,109.592
552,-123,29,0,0,41.391999999999996
553,-135,44,0,0,60.625
554,-111,130,1,2,183.60299999999998
555,-101,1,0,0,2.7039999999999997
556,-148,156,0,0,200.653
557,-118,21,0,0,28.194
558,-111,11,0,0,15.450999999999999
559,-25,38,1,1,49.92
560,-98,117,1,2,153.628
561,-84,94,1,1,124.206
562,-157,66,0,0,88.15599999999999
563,-187,96,0,0,128.75
564,-187,102,0,0,135.226
565,-125,34,0,0,46.168
566,-22,155,1,3,206.19299999999998
567,-147,65,0,1,87.229
568,-107,10,0,0,14.6
569,-141,155,0,0,204.77300000000002
570,-47,159,1,1,208.174
571,-26,45,1,2,60.3
572,-41,156,1,1,213.907
573,-87,109,1,2,149.04500000000002
574,-164,73,0,0,100.263
575,-105,8,0,0,12.243
576,-185,91,0,0,123.997
577,-38,156,1,1,214.831
578,-177,89,0,0,121.465
579,-157,66,0,0,221.989
580,-33,160,1,2,223.335
581,-10,26,1,1,36.928999999999995
582,-131,40,0,0,55.375
583,-237,146,0,0,196.522
584,-45,61,1,2,82.896
585,-202,111,0,0,147.535
586,-128,31,0,0,42.001999999999995
587,-38,150,1,1,201.38500000000002
588,-64,83,1,2,109.634
589,-199,114,0,1,147.339
590,-164,76,0,0,99.032
591,-43,155,1,1,201.014
592,-119,28,0,0,37.782999999999994
593,-140,49,0,0,64.391
594,-115,15,0,0,20.788999999999998
595,-187,99,0,0,128.67600000000002
596,-35,159,1,2,206.144
597,-154,159,0,0,205.25199999999998
598,-66,82,1,1,106.026
599,-32,150,1,1,193.105
600,-99,5,0,0,8.021
601,-195,107,0,0,137.893
602,-120,23,0,0,30.803
603,-154,159,0,0,205.68800000000002
604,-154,60,0,0,79.152
605,-30,160,1,2,218.878
606,-213,119,0,0,161.932
607,-97,113,1,2,154.905
608,-22,56,1,3,77.29700000000001
609,-34,155,1,1,209.22199999999998
610,-137,154,0,1,208.05499999999998
611,-136,42,0,0,57.751
612,-105,8,0,0,12.236
613,-153,62,0,0,85.278
614,-105,8,0,0,12.101
615,-39,160,1,2,215.41299999999998
616,-127,36,0,0,49.369
617,-42,157,1,1,211.449
618,-37,155,1,2,218.202
619,-110,132,1,2,177.803
620,-239,151,0,0,205.858
621,-132,35,0,0,57.069
622,-128,34,0,0,46.765
623,-107,7,0,0,10.635
624,73,155,2,3,205.457
625,-36,154,1,2,203.82500000000002
626,-174,77,0,0,102.199
627,-108,11,0,0,15.78
628,-215,133,0,2,174.38899999999998
629,-100,0,0,0,1.4469999999999998
630,-101,1,0,0,2.726
631,-21,34,1,1,48.132
632,-105,5,0,0,8.758999999999999
633,-130,143,1,2,194.993
634,-106,15,0,0,21.953
635,-161,73,0,0,99.918
636,-40,155,1,2,206.601
637,-40,158,1,1,211.112
638,-114,17,0,0,24.015
639,-132,38,0,0,51.464999999999996
640,-26,153,1,3,204.593
641,-212,115,0,0,151.96
642,-22,158,1,4,209.331
643,-160,66,0,0,88.151
644,-33,154,1,2,203.43800000000002
645,-149,160,0,0,210.672
646,-35,156,1,2,205.921
647,-111,17,0,0,23.723000000000003
648,-128,37,0,0,49.68
649,-108,139,1,3,185.013
650,-183,98,0,1,129.37
651,-110,13,0,0,18.825000000000003
652,-43,155,1,1,203.351
653,-44,156,1,1,209.769
654,-113,13,0,0,18.912000000000003
655,-181,87,0,0,118.41
656,-150,158,0,0,214.046
657,-164,82,0,1,110.87700000000001
658,-32,156,1,3,207.60999999999999
