episode,reward,step,sensitive,compromised,time
0,-111,14,0,0,391.637
1,-192,104,0,0,119.774
2,-100,0,0,0,1.292
3,-221,133,0,0,152.735
4,-143,46,0,0,53.801
5,-38,156,1,2,179.529
6,-115,15,0,0,18.445
7,-119,22,0,0,26.4
8,-127,33,0,0,39.504
9,-166,75,0,0,87.382
10,-146,52,0,0,61.354
11,-149,52,0,0,60.685
12,-104,10,0,0,12.839
13,-143,43,0,0,50.475
14,-112,12,0,0,14.984
15,-147,53,0,0,62.025999999999996
16,-139,42,0,0,49.586
17,-149,157,0,0,182.678
18,-117,20,0,0,24.294
19,-173,88,0,1,104.485
20,-228,137,0,0,164.546
21,-142,48,0,0,56.585
22,-101,1,0,0,2.4650000000000003
23,-121,21,0,0,25.438
24,-152,55,0,0,65.48700000000001
25,-120,23,0,0,28.502
26,-131,37,0,0,45.098
27,-124,27,0,0,32.993
28,-141,53,0,0,62.454
29,-135,41,0,0,48.632000000000005
30,-143,46,0,0,54.339
31,-132,38,0,0,44.989000000000004
32,-177,80,0,0,93.842
33,-135,38,0,0,45.177
34,-140,46,0,0,54.588
35,-117,17,0,0,20.939
36,-200,115,0,0,135.156
37,-182,94,0,0,110.538
38,-139,45,0,0,53.413000000000004
39,-35,51,1,1,60.424
40,-136,48,0,0,57.071
41,-223,129,0,0,150.725
42,-122,22,0,0,26.631999999999998
43,-124,27,0,0,32.574
44,-166,75,0,0,90.473
45,-246,152,0,0,179.94299999999998
46,-141,47,0,0,59.425
47,-79,98,1,1,120.567
48,-109,15,0,0,19.904999999999998
49,-158,70,0,0,86.997
50,-146,52,0,0,62.103
51,-155,61,0,0,73.91300000000001
52,-92,105,1,1,125.52199999999999
53,-56,69,1,1,83.39
54,-110,10,0,0,12.968
55,-50,69,1,2,82.26
56,-173,82,0,0,97.305
57,-104,4,0,0,6.0569999999999995
58,-125,34,0,0,41.099
59,-142,45,0,0,53.883
60,-127,30,0,0,37.296
61,-26,48,1,2,57.604
62,-128,31,0,0,38.621
63,-125,31,0,0,38.68
64,-105,8,0,0,10.649000000000001
65,-117,17,0,0,21.293
66,-100,116,1,1,137.293
67,-115,15,0,0,18.854
68,-104,117,1,1,138.909
69,-116,22,0,0,27.024
70,-174,77,0,0,91.453
71,-123,32,0,0,38.953
72,-121,24,0,0,29.808999999999997
73,-103,6,0,0,8.517999999999999
74,-132,35,0,0,43.418
75,-169,84,0,0,101.993
76,-128,34,0,0,41.332
77,-114,17,0,0,21.721
78,-134,37,0,0,45.409
79,-108,8,0,0,10.647
80,-102,5,0,0,7.183
