episode,reward,step,sensitive,compromised,time
0,-113,16,0,0,408.32099999999997
1,-126,29,0,0,56.268
2,-129,38,0,0,73.272
3,-163,63,0,0,123.592
4,-134,43,0,0,83.146
5,-102,2,0,0,5.146000000000001
6,-156,59,0,0,111.983
7,-31,152,1,2,286.976
8,-150,53,0,0,100.228
9,-114,14,0,0,27.609
10,-177,83,0,0,158.704
11,-117,20,0,0,39.455
12,-66,85,1,2,160.873
13,-193,99,0,0,185.01600000000002
14,-134,40,0,0,76.293
15,-152,61,0,0,115.323
16,-101,4,0,0,10.226
17,-138,44,0,0,85.237
18,-38,45,1,1,85.373
19,-138,44,0,0,83.687
20,-155,64,0,0,122.605
21,-136,45,0,0,86.347
22,-173,79,0,0,148.406
23,-10,29,1,2,55.527
24,-138,38,0,0,72.75099999999999
25,-105,5,0,0,11.312
26,-168,71,0,0,135.023
27,-153,68,0,1,129.09300000000002
28,-129,32,0,0,62.441
29,-103,3,0,0,6.826
30,-107,7,0,0,15.378
31,-117,20,0,0,38.205999999999996
32,-108,124,1,2,236.97099999999998
33,-109,9,0,0,19.633000000000003
34,-171,80,0,0,154.504
35,-124,30,0,0,60.375
36,-159,65,0,0,125.40399999999998
37,-87,109,1,2,207.995
38,-143,49,0,0,94.06200000000001
39,-201,110,0,0,206.172
40,-198,107,0,0,202.287
41,-107,7,0,0,15.100999999999999
42,-100,3,0,0,8.561
43,-125,28,0,0,54.871
44,-139,45,0,0,86.44200000000001
45,-159,65,0,0,125.661
46,-182,82,0,0,157.67000000000002
47,-103,3,0,0,6.97
48,-111,11,0,0,24.367
49,-109,9,0,0,21.156000000000002
50,-178,81,0,0,160.655
51,-135,38,0,0,75.6
52,-227,133,0,0,261.106
53,-77,90,1,2,175.434
54,-200,106,0,0,205.868
55,-113,16,0,0,31.040000000000003
56,-132,38,0,0,74.192
57,-146,46,0,0,87.282
58,-112,12,0,0,24.275000000000002
59,-134,37,0,0,71.759
60,-213,119,0,0,230.794
61,-123,29,0,0,57.74
62,-106,119,1,2,230.349
63,-20,30,1,1,57.099
64,-127,30,0,0,60.86600000000001
65,-121,27,0,0,54.309999999999995
66,-139,48,0,0,93.57799999999999
67,-75,85,1,1,166.14100000000002
68,-113,13,0,0,28.524
69,-175,81,0,0,165.721
70,-109,9,0,0,20.374
71,-121,21,0,0,43.367000000000004
72,-40,155,1,1,278.13300000000004
73,-105,5,0,0,10.776000000000002
74,-123,26,0,0,51.413000000000004
75,-191,97,0,0,191.37699999999998
76,-120,23,0,0,46.477
77,-136,42,0,0,82.258
78,-111,11,0,0,22.456
79,-185,94,0,0,184.972
80,-149,52,0,0,100.75399999999999
81,-154,60,0,0,115.96900000000001
82,-65,75,1,1,148.04700000000003
83,-136,45,0,0,90.738
84,-149,55,0,0,112.214
85,-36,49,1,1,96.057
86,-105,8,0,0,17.871000000000002
87,-168,80,0,0,156.013
88,-139,42,0,0,81.025
89,-133,39,0,0,78.175
90,-110,10,0,0,21.070999999999998
91,-151,54,0,0,104.797
92,-150,53,0,0,101.19
93,-208,132,0,1,257.682
94,-164,67,0,0,131.28500000000003
95,-127,30,0,0,63.74199999999999
96,-166,75,0,0,146.15
97,-117,23,0,0,45.903
98,-178,84,0,0,168.0
99,-200,106,0,0,208.288
100,-132,38,0,0,75.357
101,-128,34,0,0,66.74199999999999
102,-157,72,0,1,139.888
103,-86,102,1,2,198.323
104,-142,42,0,0,83.31099999999999
105,-133,33,0,0,66.365
106,-117,20,0,0,40.582
107,-208,114,0,0,221.412
108,-143,46,0,0,91.876
109,-118,18,0,0,36.571
110,-111,11,0,0,23.692
111,-124,24,0,0,47.703
112,-149,154,0,0,296.39500000000004
113,-117,17,0,0,33.534
114,-164,73,0,0,141.285
115,-158,64,0,0,123.03699999999999
116,-150,62,0,0,122.367
117,-131,34,0,0,67.82199999999999
118,-178,81,0,0,160.019
119,-174,89,0,1,172.32500000000002
120,-101,1,0,0,3.57
121,-228,128,0,0,247.974
122,-124,24,0,0,47.574
123,-202,114,0,1,211.293
124,-118,18,0,0,35.224
125,-103,3,0,0,7.0520000000000005
126,-176,85,0,0,163.739
127,-131,156,1,1,304.361
128,-119,19,0,0,35.641
129,-226,144,0,1,276.862
130,-222,131,0,0,254.056
131,-153,53,0,0,104.09400000000001
132,-145,153,0,0,295.603
133,-115,15,0,0,31.223999999999997
134,-133,36,0,0,71.646
135,-140,49,0,0,99.97399999999999
136,-150,50,0,0,98.777
137,-211,120,0,0,232.67499999999998
138,-226,138,0,0,338.657
139,-165,68,0,0,131.67100000000002
140,-228,140,0,0,269.235
141,-133,39,0,0,78.205
142,-145,60,0,1,121.32
143,-127,30,0,0,60.451
144,-103,6,0,0,14.226
145,-150,53,0,0,103.798
146,-138,44,0,0,87.26
147,-181,87,0,0,174.666
148,-119,19,0,0,38.843
149,-143,52,0,0,104.38
150,-113,22,0,0,44.766
151,-119,19,0,0,38.799
152,-164,67,0,0,133.244
153,-143,55,0,0,106.62299999999999
154,-174,77,0,0,150.407
155,-121,21,0,0,43.066
156,-117,20,0,0,43.382999999999996
157,-161,70,0,0,143.035
158,-118,18,0,0,37.174
159,-113,16,0,0,30.291999999999998
160,-100,0,0,0,2.519
161,-199,123,0,1,239.124
162,-123,23,0,0,44.768
163,-164,70,0,0,135.071
164,-168,77,0,0,150.728
165,-112,18,0,0,35.766
166,-155,61,0,0,120.355
167,-115,15,0,0,32.093999999999994
168,-107,7,0,0,16.304
169,-204,116,0,0,230.399
170,-132,38,0,0,74.84599999999999
171,-155,55,0,0,103.134
172,-215,127,0,0,239.363
173,-42,154,1,1,293.65000000000003
174,-152,58,0,0,119.295
175,-211,123,0,0,236.244
176,-100,0,0,0,1.796
177,-106,6,0,0,12.437999999999999
178,-149,157,0,0,296.33799999999997
179,-130,30,0,0,59.295
180,-186,89,0,0,168.28199999999998
181,-155,64,0,0,124.614
182,-12,138,2,3,263.905
183,-89,102,1,1,191.518
184,-186,98,0,0,187.26000000000002
185,-133,36,0,0,71.66
186,-128,31,0,0,58.454
187,-211,147,0,3,277.966
188,-102,2,0,0,5.993
189,-143,55,0,0,104.818
190,-163,69,0,0,132.67399999999998
191,-102,2,0,0,5.984999999999999
192,-123,26,0,0,50.025
193,-123,26,0,0,51.491
194,-104,117,1,1,229.839
195,-152,64,0,0,121.976
196,-164,85,0,2,160.78300000000002
197,-105,5,0,0,12.336
198,-123,26,0,0,50.082
199,-163,69,0,0,137.829
200,-109,12,0,0,24.027
201,-192,98,0,0,188.411
202,-116,16,0,0,31.399000000000004
203,-101,1,0,0,3.457
204,-239,148,0,0,283.13500000000005
205,-210,125,0,0,236.476
206,-107,7,0,0,15.733
207,-126,145,1,1,280.80699999999996
208,-242,157,0,0,309.33
209,-143,154,0,0,297.28900000000004
210,-29,42,1,2,82.74
211,-130,150,0,1,290.793
212,-132,35,0,0,68.065
213,-119,28,0,0,57.044
214,-147,50,0,0,98.13900000000001
215,-113,13,0,0,26.119
216,-206,115,0,0,220.841
217,-133,36,0,0,67.53399999999999
218,-123,26,0,0,52.282000000000004
219,-119,25,0,0,47.572
220,-121,27,0,0,54.709
221,-107,7,0,0,14.491999999999999
222,-156,59,0,0,115.89
223,-33,154,1,2,297.45700000000005
224,-115,15,0,0,30.483
225,-148,66,0,2,125.784
226,-157,63,0,0,121.159
227,-200,115,0,0,217.34300000000002
228,-130,156,0,1,305.24600000000004
229,-146,154,0,0,296.203
230,-228,134,0,0,258.799
231,-119,19,0,0,37.69
232,-140,46,0,0,89.292
233,-137,40,0,0,76.738
234,-115,15,0,0,29.636
235,-176,82,0,0,160.66
236,-224,136,0,0,257.266
237,-114,17,0,0,33.528000000000006
238,-163,75,0,0,142.926
239,-112,12,0,0,25.784000000000002
240,-142,156,0,0,298.362
241,-155,61,0,0,115.995
242,-115,131,1,1,251.64
243,-104,7,0,0,13.866
244,-153,62,0,0,123.164
245,-100,0,0,0,1.8370000000000002
246,-177,92,0,1,180.249
247,-164,70,0,0,133.52700000000002
248,-161,64,0,0,122.147
249,-111,11,0,0,23.436
250,-60,73,1,2,142.313
251,-122,25,0,0,49.018
252,-70,80,1,1,155.23000000000002
253,-29,153,1,3,291.58099999999996
254,-107,7,0,0,15.446
255,-102,2,0,0,5.21
256,-116,22,0,0,42.329
257,-144,155,0,0,296.09999999999997
258,-36,154,1,2,289.284
259,-113,13,0,0,26.182000000000002
260,-107,10,0,0,21.328
261,-142,150,0,0,284.49
262,-114,14,0,0,27.501
263,-134,37,0,0,72.417
264,-178,87,0,0,164.86100000000002
265,-119,25,0,0,48.339
266,-148,156,0,0,299.07099999999997
267,-141,50,0,0,99.23400000000001
268,-111,11,0,0,22.001
269,-166,66,0,0,129.619
270,-204,116,0,0,220.82
271,-101,4,0,0,10.874
272,-223,129,0,0,246.06
273,-103,12,0,0,24.767999999999997
274,-124,24,0,0,49.027
275,-104,4,0,0,8.571
276,-29,36,1,1,70.373
277,-157,69,0,0,134.89499999999998
278,-145,150,0,0,292.103
279,-130,30,0,0,49.452999999999996
280,-225,143,0,1,285.531
281,-189,95,0,0,189.336
282,-149,52,0,0,107.292
283,-104,4,0,0,9.242
284,-142,51,0,0,102.24600000000001
285,-20,153,1,3,303.579
286,-135,44,0,0,93.216
287,-153,158,0,0,314.20799999999997
288,-169,81,0,0,160.001
289,-143,49,0,0,98.297
290,-152,61,0,0,106.996
291,-145,48,0,0,77.791
292,-131,34,0,0,71.985
293,-119,22,0,0,45.471
294,-111,11,0,0,25.815
295,-172,78,0,0,151.958
296,-109,12,0,0,23.941
297,-236,148,0,0,276.574
298,-210,116,0,0,203.547
299,-126,29,0,0,52.753
300,-154,57,0,0,105.235
301,-107,7,0,0,15.838999999999999
302,-116,19,0,0,36.94
303,-134,37,0,0,71.741
304,-166,84,0,2,160.952
305,-155,55,0,0,106.267
306,-127,27,0,0,54.032
307,-111,14,0,0,30.842000000000002
308,-129,35,0,0,67.995
309,-152,70,0,1,137.525
310,-100,0,0,0,1.788
311,-136,39,0,0,75.834
312,-127,30,0,0,60.99
313,-138,41,0,0,80.452
314,-190,96,0,0,182.271
315,-190,93,0,0,183.209
316,-119,19,0,0,38.798
317,-139,152,1,1,306.316
318,-194,100,0,0,193.465
319,-64,77,1,1,151.78900000000002
320,-216,125,0,0,238.631
321,-35,156,1,1,299.995
322,-187,99,0,0,203.986
323,-98,1,0,0,3.7169999999999996
324,-162,71,0,0,132.608
325,-176,82,0,0,152.572
326,-107,117,1,1,235.82600000000002
327,-117,17,0,0,36.35
328,-156,59,0,0,117.663
329,-110,10,0,0,19.251
330,-154,159,0,0,305.769
331,-189,98,0,0,186.038
332,-121,27,0,0,53.271
333,-144,155,0,0,298.036
334,-128,34,0,0,63.159000000000006
335,-116,16,0,0,31.821
336,-130,33,0,0,66.25
337,-49,158,1,1,302.32399999999996
338,-173,82,0,0,156.358
339,-103,9,0,0,21.198
340,-103,3,0,0,7.481
341,-103,3,0,0,7.05
342,-237,146,0,0,282.441
343,-211,123,0,0,233.03099999999998
344,-177,86,0,0,164.897
345,-123,23,0,0,39.809
346,-65,75,1,1,143.13500000000002
347,-200,121,0,1,213.749
348,-134,34,0,0,57.014
349,-122,22,0,0,37.632
350,-178,84,0,0,169.217
351,-107,7,0,0,14.77
352,-111,11,0,0,24.160999999999998
353,-65,93,1,3,184.954
354,-226,135,0,0,262.76
355,-127,30,0,0,62.041
356,-209,133,0,1,258.27099999999996
357,-121,21,0,0,41.048
358,-30,157,1,2,300.263
359,-148,54,0,0,103.262
360,-91,107,1,1,201.309
361,-197,100,0,0,189.08700000000002
362,-174,80,0,0,152.601
363,-150,62,0,1,117.583
364,-178,93,0,1,178.731
365,-77,87,1,1,169.482
366,-112,15,0,0,29.743
367,-39,157,1,2,278.39599999999996
368,-192,98,0,0,158.007
369,-105,5,0,0,9.56
370,-112,15,0,0,25.184
371,-172,78,0,0,125.44
372,-123,38,0,2,61.653
373,-110,13,0,0,21.996000000000002
374,-131,34,0,0,55.855000000000004
375,-103,3,0,0,6.2620000000000005
376,-120,26,0,0,43.70099999999999
377,-42,154,1,1,344.576
378,-117,23,0,0,37.794000000000004
379,-168,74,0,0,119.164
380,-76,98,1,2,180.067
381,-202,111,0,0,214.411
382,-140,46,0,0,89.878
383,-40,53,1,2,100.246
384,-110,13,0,0,26.932000000000002
385,-126,32,0,0,61.676
386,-144,155,0,0,294.85
387,-161,64,0,0,126.79899999999999
388,-132,35,0,0,72.896
389,-145,51,0,0,95.566
390,-155,58,0,0,107.765
391,-84,106,1,2,201.81
392,-146,52,0,0,93.08
393,-151,54,0,0,96.29899999999999
394,-108,14,0,0,26.284
395,-112,18,0,0,32.931000000000004
396,-232,138,0,0,257.16499999999996
397,-141,47,0,0,91.329
398,-127,30,0,0,59.271
399,-139,42,0,0,79.94999999999999
400,-206,127,0,1,246.46599999999998
401,-246,152,0,0,294.35299999999995
402,-223,129,0,0,240.407
403,-143,46,0,0,77.324
404,-70,83,1,1,136.504
405,-39,154,1,2,250.228
406,-149,154,0,0,250.40400000000002
407,-153,68,0,1,112.839
408,-224,133,0,0,218.621
409,-174,77,0,0,125.95899999999999
410,-176,79,0,0,130.255
411,-150,59,0,0,113.761
412,-127,153,0,1,293.587
413,-144,152,0,0,294.954
414,-216,125,0,0,243.948
415,-184,90,0,0,171.11599999999999
416,-136,36,0,0,70.664
417,-142,51,0,0,95.956
418,-165,68,0,0,132.16
419,-119,22,0,0,45.327
420,-146,52,0,0,102.797
421,-167,67,0,0,128.57399999999998
422,-174,80,0,0,154.145
423,-114,17,0,0,34.456
424,-149,49,0,0,88.937
425,-100,3,0,0,6.783
426,-47,156,1,1,257.743
427,-127,143,1,1,236.29
428,-118,18,0,0,31.315
429,-164,67,0,0,109.834
430,-151,156,0,0,256.034
431,-119,31,0,1,52.843
432,-140,49,0,0,81.319
433,-55,71,1,1,118.477
434,-191,103,0,0,169.275
435,-120,23,0,0,39.409
436,-24,31,1,1,52.747
437,-109,12,0,0,20.799000000000003
438,-118,21,0,0,36.573
439,-192,98,0,0,161.963
440,-66,76,1,1,125.942
441,-107,7,0,0,13.121
442,-77,96,1,2,157.84599999999998
443,-133,152,1,1,247.588
444,-140,46,0,0,76.017
445,-133,39,0,0,64.24199999999999
446,-142,156,0,0,283.988
447,-111,11,0,0,22.006999999999998
448,-150,152,0,0,289.642
449,-149,160,0,0,306.365
450,-142,153,0,0,295.843
451,-107,7,0,0,14.216
452,-127,30,0,0,58.573
453,-187,96,0,0,182.735
454,-125,28,0,0,47.749
455,-128,31,0,0,53.761
456,-163,72,0,0,140.048
457,-125,144,1,2,278.39000000000004
458,-112,12,0,0,24.895
459,-101,1,0,0,3.7399999999999998
460,-44,159,1,2,307.108
461,-176,88,0,0,172.329
462,-191,103,0,0,181.044
463,-175,78,0,0,130.996
464,-229,135,0,0,224.81
465,-113,16,0,0,27.564999999999998
466,-115,15,0,0,25.856
467,-192,101,0,0,166.026
468,-77,90,1,1,148.411
469,-109,12,0,0,20.797
470,-25,158,1,4,260.395
471,-103,6,0,0,11.754000000000001
472,-46,65,1,2,107.96
473,-172,75,0,0,123.97
474,-175,81,0,0,132.658
475,-101,1,0,0,3.473
476,-159,65,0,0,108.196
477,-152,55,0,0,90.532
478,-157,63,0,0,105.697
479,-102,2,0,0,5.038
480,-37,158,1,2,258.395
481,-152,55,0,0,91.636
482,-35,153,1,2,251.751
483,-145,156,0,0,258.319
484,-79,89,1,1,147.117
485,-104,7,0,0,13.423
486,-155,58,0,0,96.79899999999999
487,-221,127,0,0,209.807
488,-30,157,1,3,261.81100000000004
489,-134,43,0,0,72.99799999999999
490,-29,153,1,2,277.01300000000003
491,-168,92,0,1,175.36599999999999
492,-144,47,0,0,89.906
493,-142,54,0,0,102.728
494,-157,60,0,0,114.854
495,-162,71,0,0,132.448
496,-124,24,0,0,46.945
497,-176,85,0,0,165.199
498,-133,36,0,0,72.475
499,-113,16,0,0,34.526
500,-143,154,0,0,297.684
501,-132,35,0,0,65.15899999999999
502,-135,38,0,0,75.681
503,-113,144,1,3,275.039
504,-162,65,0,0,124.019
505,-31,152,1,2,294.096
506,-233,145,0,0,281.906
507,-53,60,1,1,116.83200000000001
508,-156,62,0,0,119.49
509,-183,89,0,0,174.496
510,-111,14,0,0,27.567
511,-160,69,0,0,129.137
512,-111,11,0,0,23.344
513,-144,155,0,0,293.26000000000005
514,-129,32,0,0,62.108
515,-129,38,0,0,72.707
516,-235,144,0,0,269.227
517,-70,80,1,1,154.892
518,-213,125,0,1,238.87800000000001
519,-118,21,0,0,40.827000000000005
520,-178,81,0,0,153.828
521,-153,158,0,0,291.88399999999996
522,-147,59,0,0,113.307
523,-124,30,0,0,59.096999999999994
524,-228,143,0,0,266.95000000000005
525,-149,157,0,0,294.673
526,-136,39,0,0,75.999
527,-114,17,0,0,34.104
528,-172,75,0,0,146.374
529,-144,50,0,0,96.874
530,-143,154,0,0,294.94399999999996
531,-41,153,1,1,287.619
532,-30,154,1,1,292.3
533,-170,70,0,0,135.72899999999998
534,-220,129,0,0,242.48
535,-235,147,0,1,263.686
536,-177,86,0,0,141.807
537,-219,137,0,1,225.405
538,-152,55,0,0,91.339
539,-151,60,0,0,99.824
540,-37,158,1,2,259.089
541,-145,156,0,0,254.49500000000003
542,-162,62,0,0,101.87599999999999
543,-164,76,0,0,126.187
544,-123,26,0,0,44.473
545,-122,28,0,0,47.995000000000005
546,-155,64,0,0,106.851
547,-151,60,0,0,99.89099999999999
548,-123,29,0,0,48.690999999999995
549,-112,12,0,0,26.142
550,-43,158,1,2,302.711
551,-138,151,1,1,288.868
552,-169,99,0,3,184.945
553,-165,68,0,0,129.62099999999998
554,-212,124,0,0,244.15300000000002
555,-154,75,0,1,145.964
556,-182,85,0,0,161.888
557,-144,152,0,0,267.628
558,-148,54,0,0,96.455
559,-145,153,0,0,271.021
560,-138,44,0,0,79.342
561,-136,48,0,1,86.955
562,-43,152,1,1,287.56
563,-132,32,0,0,62.135000000000005
564,-144,155,0,0,289.54999999999995
