episode,reward,step,sensitive,compromised,time
1,-103,4,0,0,3.206
2,-110,11,0,0,7.680000000000001
3,-170,80,0,0,55.548
4,-160,73,0,0,50.952999999999996
5,-100,1,0,0,0.6980000000000001
6,-136,49,0,1,34.102000000000004
7,-120,24,0,0,16.580000000000002
8,-224,137,0,0,94.905
9,-166,70,0,0,48.641
10,-135,45,0,0,245.95700000000002
11,-129,36,0,0,26.584
12,-177,90,0,1,62.67100000000001
13,-105,9,0,0,6.275
14,-163,73,0,0,50.793
15,-164,65,0,0,45.217
16,-137,41,0,0,28.57
17,-229,139,0,0,96.371
18,-147,156,0,0,108.21600000000001
19,-151,160,0,0,110.72500000000001
20,-123,30,0,0,237.415
21,-156,162,0,0,114.826
22,-119,23,0,0,15.886000000000001
23,-107,11,0,0,7.655
24,-101,2,0,0,1.381
25,-144,156,0,0,107.875
26,-150,159,0,0,110.769
27,-113,26,0,1,18.099
28,-159,87,0,3,60.536
29,-137,154,1,1,107.08
30,-137,44,0,0,247.90300000000002
31,-98,124,1,3,87.197
32,-146,155,0,0,108.442
33,-167,77,0,0,53.798
34,-146,158,0,0,110.481
35,-163,73,0,0,50.8
36,-194,104,0,0,72.075
37,-218,134,0,0,92.798
38,-42,161,1,2,111.209
39,-36,155,1,2,107.598
40,-205,109,0,0,296.489
41,-140,47,0,0,34.52
42,-221,152,0,2,106.378
43,-133,43,0,0,29.726
44,-192,102,0,0,70.70700000000001
45,-132,156,0,1,107.958
46,-145,160,0,1,110.766
47,-158,65,0,0,45.022
48,-110,133,1,2,92.643
49,-92,112,1,2,77.748
50,-141,159,0,1,332.599
51,75,154,2,3,109.604
52,-44,154,1,1,107.587
53,67,156,2,3,108.53599999999999
54,-48,158,1,1,109.257
55,-31,159,1,3,110.311
56,-153,159,0,0,109.906
57,-47,157,1,1,108.45299999999999
58,-39,158,1,2,110.38000000000001
59,-19,143,2,3,99.126
60,-134,47,0,1,244.37300000000002
61,-78,89,1,1,65.89699999999999
62,-39,158,1,2,111.94900000000001
63,-123,30,0,0,20.622999999999998
64,-148,157,0,0,107.894
65,-121,147,1,2,101.26
66,-217,136,0,1,93.851
67,-44,157,1,2,108.114
68,-147,159,0,0,109.72
69,-240,156,0,1,107.94
70,-36,158,1,2,293.069
71,74,158,2,3,109.484
72,-189,96,0,0,65.76
73,-35,157,1,2,107.911
74,-46,159,1,2,108.97900000000001
75,-100,4,0,0,2.7439999999999998
76,-37,159,1,2,108.644
77,73,159,2,4,108.867
78,-131,151,1,2,103.853
79,-35,157,1,2,108.659
80,-42,158,1,2,337.615
81,-144,153,0,0,106.099
82,-43,159,1,2,110.19500000000001
83,-206,116,0,0,80.209
84,73,156,2,3,107.696
85,-42,161,1,2,110.218
86,-88,105,1,2,71.664
87,-43,159,1,2,109.151
88,-32,157,1,2,107.49000000000001
89,-168,81,0,0,55.370000000000005
90,-103,4,0,0,231.132
91,-133,150,1,2,102.885
92,-33,47,1,2,32.126000000000005
93,-99,128,1,3,88.351
94,-38,157,1,2,107.672
95,-22,156,1,3,107.351
96,72,160,2,3,109.808
97,-30,155,1,2,106.569
98,-121,153,1,3,104.91799999999999
99,-32,43,1,1,29.465
100,-107,11,0,0,234.673
101,-49,162,1,2,111.672
102,-147,51,0,0,34.866
103,-40,159,1,2,108.864
104,-129,143,1,1,97.934
105,-39,158,1,2,108.736
106,-123,149,1,3,102.544
107,-36,161,1,2,110.678
108,-34,159,1,2,110.27499999999999
109,-78,92,1,2,63.234
110,63,160,2,3,334.106
111,-38,46,1,1,32.983
112,-37,159,1,2,110.11999999999999
113,229,98,3,4,67.748
114,-41,160,1,2,110.244
115,69,157,2,3,107.689
116,67,159,2,3,109.50500000000001
117,-78,95,1,1,65.814
118,185,145,3,4,99.605
119,-119,139,1,1,95.221
120,-39,158,1,2,331.189
121,65,158,2,3,108.97999999999999
122,248,76,3,4,52.064
123,65,161,2,3,110.623
124,-35,157,1,2,107.612
125,66,160,2,3,109.881
126,71,158,2,3,172.59
127,69,157,2,3,108.189
128,62,158,2,3,108.308
129,-43,159,1,1,108.92
130,9,130,2,4,318.709
131,61,162,2,3,111.981
132,62,158,2,3,108.443
133,64,159,2,3,109.13499999999999
134,-45,164,1,2,112.66199999999999
135,-43,159,1,2,109.11
136,2,146,2,5,100.225
137,76,159,2,4,109.32300000000001
138,65,158,2,3,108.673
139,-49,165,1,1,112.973
140,207,126,3,5,316.315
141,63,157,2,3,109.986
142,196,128,3,3,88.419
143,189,135,3,4,93.10000000000001
144,-68,91,1,2,63.17
145,214,116,3,4,80.401
146,62,164,2,3,112.993
147,169,155,3,4,106.678
148,-32,157,1,2,107.646
149,-20,147,2,3,100.87400000000001
150,242,85,3,4,286.04
151,172,158,3,4,109.69
152,239,97,3,5,66.918
153,189,144,3,4,99.021
154,64,156,2,3,106.875
155,-53,73,1,2,50.132999999999996
156,58,162,2,3,111.706
157,64,162,2,3,111.64200000000001
158,213,111,3,4,76.315
159,227,100,3,4,68.725
160,-90,116,1,2,310.346
161,82,159,2,4,110.553
162,218,118,3,4,81.71100000000001
163,190,134,3,4,92.05099999999999
164,240,87,3,4,59.954
165,-31,159,1,3,109.252
166,232,89,3,3,60.964
167,258,66,3,4,45.213
168,64,159,2,3,108.861
169,22,114,2,4,78.329
170,250,80,3,4,280.42699999999996
171,31,90,2,3,62.696000000000005
172,187,137,3,4,94.628
173,52,84,2,4,58.607
174,244,83,3,4,57.324
175,225,93,3,3,64.11699999999999
176,87,154,2,5,106.505
177,235,89,3,4,61.334
178,225,96,3,4,65.954
179,59,158,2,3,108.39500000000001
180,204,117,3,3,306.97799999999995
181,191,133,3,4,91.307
182,70,156,2,3,107.306
183,217,113,3,4,77.882
184,74,155,2,3,106.58099999999999
185,-64,90,1,3,61.788999999999994
186,191,142,3,5,97.438
187,203,124,3,4,85.09899999999999
188,207,117,3,4,80.109
189,186,144,3,4,98.79499999999999
190,-4,137,2,4,324.981
191,184,143,3,4,98.508
192,247,77,3,4,53.063
193,264,63,3,4,43.611999999999995
194,60,160,2,3,109.706
195,221,103,3,4,70.695
196,251,76,3,4,52.32
197,67,156,2,3,106.96300000000001
198,176,148,3,4,101.49900000000001
199,-49,69,1,2,47.302
200,224,100,3,3,293.942
201,218,121,3,5,85.01
202,177,147,3,4,100.828
203,243,78,3,3,53.54600000000001
204,205,125,3,4,86.338
205,233,88,3,3,60.333999999999996
206,249,81,3,4,55.59
207,238,89,3,4,60.964
208,66,157,2,3,108.521
209,220,104,3,4,71.711
210,247,80,3,4,282.661
