episode,reward,step,sensitive,compromised,time
1,-21,24,0,0,371.83
2,-4,7,0,0,4.303000000000001
3,-14,11,0,0,6.751
4,-23,26,0,0,15.935
5,-20,17,0,0,10.424
6,-37,34,0,0,20.723
7,-12,15,0,0,9.187000000000001
8,-16,13,0,0,7.941
9,-11,2,0,0,1.2249999999999999
10,1,14,0,0,223.576
11,-7,4,0,0,3.8960000000000004
12,-12,3,0,0,2.421
13,-6,21,0,0,13.082
14,-11,2,0,0,1.2409999999999999
15,-10,43,0,1,26.845000000000002
16,-19,49,0,0,30.589000000000002
17,-7,4,0,0,2.502
18,-7,4,0,0,2.536
19,-6,9,0,0,5.668
20,-10,1,0,0,206.18900000000002
21,-11,2,0,0,1.9719999999999998
22,-11,26,0,0,18.16
23,-10,1,0,0,0.634
24,-2,35,0,1,21.704
25,-11,2,0,0,1.237
26,9,5,1,1,3.101
27,-13,16,0,0,9.912
28,3,12,0,0,7.4479999999999995
29,-12,21,0,0,13.103
30,-15,6,0,0,207.927
31,-11,38,0,1,25.187
32,4,34,1,1,21.223
33,-15,51,0,1,32.071000000000005
34,-8,35,0,0,22.009999999999998
35,-9,30,0,0,18.814
36,1,44,0,1,27.534
37,-13,4,0,0,2.598
38,-1,39,1,1,24.516
39,-4,13,0,0,8.116
40,-11,2,0,0,213.303
41,-22,52,0,0,35.395
42,-8,5,0,0,3.22
43,8,7,0,1,4.366
44,1,53,0,1,33.458
45,4,40,1,3,25.057
46,7,8,0,0,5.109
47,-9,24,0,1,15.072000000000001
48,4,11,0,0,6.9030000000000005
49,-11,14,0,0,8.818
50,18,20,1,2,222.102
51,2,30,1,1,20.310000000000002
52,-10,19,0,1,11.700000000000001
53,-7,16,0,0,9.783999999999999
54,4,40,1,2,24.719
55,8,51,1,3,31.619
56,-14,41,0,0,25.503999999999998
57,-9,24,0,0,14.841999999999999
58,16,16,1,2,9.911
59,-8,41,0,1,25.41
60,-9,12,0,0,219.84400000000002
61,-10,7,0,0,5.267
62,-12,21,0,1,12.963000000000001
63,-6,9,0,0,5.54
64,-7,10,0,0,6.162
65,0,33,0,0,20.404
66,0,32,1,1,19.849999999999998
67,-11,14,0,0,8.625
68,-8,5,0,0,3.109
69,20,36,1,2,22.339000000000002
70,-15,18,0,0,216.899
71,-14,41,0,0,28.271
72,4,17,0,1,10.451
73,13,20,0,2,12.373000000000001
74,-6,3,0,0,1.859
75,-9,6,0,0,3.685
76,11,48,1,2,29.61
77,-4,13,0,0,7.946
78,-3,6,0,0,3.686
79,-8,5,0,0,3.0709999999999997
80,0,15,0,1,214.91299999999998
81,-7,4,0,0,3.891
82,5,28,0,1,17.614
83,-10,1,0,0,0.625
84,1,25,1,1,15.385
85,-11,38,0,0,23.425
86,-3,12,0,0,7.412
87,4,11,0,2,6.765000000000001
88,9,30,0,1,18.599
89,-5,26,0,1,16.116
90,27,29,1,1,221.669
91,21,50,1,2,32.722
92,8,7,0,0,4.352
93,27,50,1,4,31.227
94,8,25,0,0,15.514
95,-3,12,0,0,7.407
96,-15,51,0,2,31.676999999999996
97,-10,52,0,1,32.344
98,49,15,2,3,9.343
99,9,35,1,1,21.881999999999998
100,2,42,1,2,238.741
101,-10,46,0,0,31.415
102,25,52,1,2,32.445
103,6,27,0,1,16.802
104,-6,3,0,0,1.8639999999999999
105,24,38,1,3,23.705000000000002
106,18,47,1,2,29.348
107,-1,28,0,1,17.338
108,22,49,1,2,30.456
109,-4,13,0,0,7.997000000000001
110,22,40,1,3,234.63
111,16,55,1,3,34.646
112,6,21,0,0,13.007
113,9,29,1,2,18.009
114,-1,10,0,0,6.204999999999999
115,10,23,0,1,14.224
116,3,6,0,0,3.7039999999999997
117,27,50,1,3,30.794999999999998
118,13,20,0,1,12.362
119,-1,49,0,0,30.061999999999998
120,8,24,1,2,222.081
121,20,52,0,2,35.478
122,2,18,1,1,11.106
123,9,11,1,1,6.826
124,10,49,1,2,30.471999999999998
125,0,3,0,0,1.888
126,2,49,0,1,30.557000000000002
127,14,13,0,1,8.193000000000001
128,2,13,0,1,8.121
129,-11,14,0,0,8.681
130,1,20,0,0,221.09699999999998
131,22,49,1,3,32.515
132,30,53,1,4,33.293000000000006
133,36,52,2,3,32.501000000000005
134,3,51,0,1,31.836000000000002
135,10,50,0,2,31.257
136,22,49,1,3,30.718
137,3,51,0,1,32.275999999999996
138,-3,51,0,1,32.346
139,-3,50,1,2,31.356
140,15,41,1,3,238.454
141,2,25,0,1,17.86
142,17,55,0,4,34.504
143,19,43,1,3,26.878
144,16,49,1,3,30.916
145,15,50,1,2,31.366999999999997
146,0,9,0,0,5.572
147,25,31,1,3,19.356
148,14,13,0,1,8.297
149,7,14,0,0,8.992
150,4,49,1,2,240.08499999999998
151,23,33,1,2,22.583
152,38,20,2,2,15.08
153,12,44,1,3,32.211
154,10,10,1,1,8.799
155,36,26,1,2,22.665000000000003
156,-2,17,0,1,10.712
157,15,35,1,1,21.82
158,-10,1,0,0,0.627
159,18,44,1,1,27.378
160,19,32,0,2,251.031
161,5,16,0,0,13.215
162,0,15,0,0,9.225999999999999
163,7,31,1,1,19.102
164,22,28,1,1,17.287
165,7,32,0,2,19.813000000000002
166,17,39,1,1,24.116
167,2,19,0,1,11.763
168,26,51,1,3,31.486
169,14,42,1,2,25.906
170,13,52,1,1,242.428
171,17,54,1,2,35.607
172,24,53,1,2,33.058
173,31,52,1,3,32.438
174,7,46,1,1,28.733999999999998
175,23,39,1,3,24.307
176,20,30,1,1,18.664
177,15,23,1,1,14.357999999999999
178,27,51,0,3,31.843999999999998
179,14,51,1,1,32.082
180,25,37,1,2,242.758
181,13,43,1,1,29.139000000000003
182,34,28,1,2,17.275
183,26,51,1,1,31.662000000000003
184,40,55,1,5,34.275
185,-3,30,0,1,18.634
186,1,47,0,2,29.115
187,41,29,2,3,17.828
188,31,37,1,2,22.934
189,9,47,1,2,29.006
190,22,22,1,2,224.635
191,22,46,1,3,32.899
192,-10,1,0,0,0.627
193,7,43,1,1,26.686
194,25,58,1,3,36.231
195,17,45,1,4,27.975
196,7,58,1,2,36.157000000000004
197,25,52,1,3,32.408
198,22,40,1,3,24.922
199,38,51,1,4,31.736
200,37,39,2,3,235.766
201,40,30,2,2,20.523
202,27,47,1,3,30.058
203,12,15,0,0,9.431999999999999
204,27,50,1,2,31.525
205,-11,2,0,0,1.2550000000000001
206,38,30,1,3,18.849999999999998
207,20,30,1,1,18.854
208,12,26,1,2,16.268
209,9,23,1,2,14.364
210,37,37,1,1,229.101
211,15,51,0,2,34.946999999999996
212,27,31,2,2,19.203000000000003
213,5,33,1,1,20.625999999999998
214,50,24,1,3,14.914
215,24,53,1,1,32.917
216,25,52,1,2,32.426
217,14,12,1,1,7.4
218,-4,31,0,0,19.186
219,27,35,1,2,21.738
220,26,32,2,2,228.686
221,29,39,1,3,27.054000000000002
222,20,51,1,3,31.619
223,33,51,0,3,31.679
224,-10,1,0,0,0.626
225,22,49,1,3,30.373
226,24,46,2,2,28.36
227,4,50,0,1,30.891
228,12,53,1,2,32.696999999999996
229,17,21,1,1,12.991000000000001
230,60,34,2,4,230.93
231,-5,44,0,2,29.112
232,-2,52,1,1,31.975000000000005
233,20,42,1,2,26.049
234,19,43,1,3,27.224
235,20,31,0,2,19.698
236,13,52,1,2,32.775
237,39,37,2,2,22.788
238,23,54,1,3,33.302
239,26,54,1,3,33.389
240,13,43,1,3,235.485
241,29,51,1,2,32.294000000000004
242,33,50,1,3,31.188
243,25,52,1,3,32.292
244,15,11,1,1,6.825
245,12,20,1,1,12.409999999999998
246,-3,36,0,1,22.521
247,15,23,1,2,14.28
248,-10,7,0,0,4.318
249,42,53,1,4,33.086999999999996
250,6,26,1,2,226.407
251,23,33,1,2,25.002
252,-9,18,0,1,11.145999999999999
253,6,54,0,3,33.568
254,22,36,2,2,22.281
255,9,17,1,1,10.626
256,9,29,1,2,18.25
257,20,51,1,2,31.669999999999998
258,8,12,1,1,7.51
259,12,39,0,2,24.467
260,40,49,1,3,241.618
261,28,34,1,3,23.894
262,27,17,1,1,10.693
263,32,18,1,1,11.254999999999999
264,15,56,1,2,35.376
265,25,49,1,3,30.676
266,16,52,1,3,32.657
267,34,55,1,4,34.707
268,45,25,2,2,15.665
269,48,53,1,5,33.157
270,33,23,1,2,225.406
271,34,55,1,3,36.568999999999996
272,36,53,1,3,33.781
273,48,53,1,4,33.342
274,15,24,0,2,14.968
275,5,39,1,2,24.328
276,19,52,1,3,32.410000000000004
277,9,56,1,2,34.946999999999996
278,10,40,1,1,24.965
279,26,51,1,2,32.092000000000006
280,18,20,1,1,222.07399999999998
281,26,51,1,2,32.993
282,51,56,1,6,34.946999999999996
283,13,52,1,2,32.251000000000005
284,42,53,1,4,33.022000000000006
285,27,56,1,4,34.785000000000004
286,1,58,1,2,36.035
287,32,51,1,2,31.91
288,30,53,1,3,33.185
289,33,35,1,2,21.916999999999998
290,43,52,1,4,250.60500000000002
291,81,25,2,4,16.091
292,23,51,1,3,31.758000000000003
293,31,52,1,2,32.445
294,47,35,2,3,21.742
295,-5,2,0,0,1.237
296,40,55,1,4,34.298
297,45,25,2,3,15.57
298,34,28,1,2,17.508
299,56,44,2,5,27.556
300,19,52,1,2,254.70100000000002
301,43,21,2,2,15.411
302,48,26,1,4,16.176
303,6,9,0,0,5.659
304,36,46,2,3,29.436
305,53,35,2,4,22.082
306,43,57,2,5,36.291
307,33,50,1,4,31.284
308,24,32,1,1,20.04
309,26,54,1,2,33.891999999999996
310,32,42,1,4,235.951
311,29,33,1,3,21.909000000000002
312,20,30,1,1,18.672
313,26,51,1,5,31.925
314,51,43,2,3,26.761
315,39,17,1,3,10.526
316,29,54,1,3,33.546
317,21,50,1,3,30.736
318,42,40,2,3,24.711000000000002
319,32,51,1,4,31.502000000000002
320,-1,10,0,0,221.84
321,13,58,1,4,37.115
322,27,43,2,3,26.995
323,56,26,2,3,16.247999999999998
324,32,36,1,3,22.523999999999997
325,40,42,2,3,26.272
326,21,50,1,2,31.208
327,50,32,2,3,19.902
328,16,49,1,2,30.451
329,23,39,1,3,24.035
330,22,46,1,3,256.579
331,36,26,1,2,17.55
332,-10,7,0,0,4.378
333,46,30,2,2,18.844
334,43,33,2,2,20.764000000000003
335,12,26,1,1,16.293
336,39,19,2,2,11.858
337,56,32,2,4,20.136999999999997
338,47,47,2,3,29.575
339,46,30,2,3,19.054000000000002
340,48,34,2,3,240.283
341,19,53,0,3,35.872
342,0,54,0,2,33.775
343,15,41,1,2,25.571
344,47,27,1,3,16.813000000000002
345,25,37,1,2,23.182000000000002
346,47,29,2,2,17.988
347,35,35,2,3,21.718999999999998
348,42,53,1,4,32.993
349,-1,10,0,0,6.1770000000000005
350,5,16,0,1,220.153
351,48,34,2,4,22.637
352,38,20,2,2,12.361
353,29,39,1,3,24.244000000000003
354,24,34,2,2,21.169
355,12,38,1,2,23.473000000000003
356,26,48,1,4,29.78
357,40,52,1,5,32.198
358,41,29,2,2,17.975
359,10,22,1,1,13.620999999999999
360,3,18,0,1,218.189
361,29,54,1,3,36.765
362,28,46,1,4,28.711000000000002
363,34,28,1,3,17.347
364,52,18,2,3,11.272
365,17,45,1,3,27.977999999999998
366,0,3,0,0,1.881
367,3,47,1,2,29.265
368,-1,4,0,0,2.493
369,50,14,2,3,8.727
370,40,30,2,3,241.757
371,50,51,1,5,32.649
372,40,24,2,3,15.0
373,44,32,2,3,20.164
374,46,36,2,3,22.663
375,11,45,1,2,28.619
376,32,51,1,4,32.655
377,-3,53,1,3,33.434
378,46,36,2,2,22.618
379,30,26,1,3,16.376
380,42,40,2,3,251.44699999999997
381,44,20,2,2,12.914
382,-10,1,0,0,0.627
383,29,39,1,3,24.297
384,47,35,2,3,21.91
385,15,35,1,2,22.637999999999998
386,37,52,1,3,32.549
387,7,59,0,3,37.098
388,38,51,1,4,93.028
389,50,38,2,3,24.386000000000003
390,21,56,1,3,249.524
391,15,18,0,1,13.189
392,33,37,2,3,22.951
393,31,52,1,4,32.486000000000004
394,35,33,1,3,20.617
395,47,17,2,3,10.57
396,47,54,1,5,33.775
397,53,23,2,3,14.402
398,43,15,2,2,9.349
399,51,43,2,5,26.786
400,39,31,2,3,232.155
