episode,reward,step,sensitive,compromised,time
1,-1009,13,0,0,380.375
2,-1028,50,0,2,31.744
3,-1009,16,0,0,10.137
4,-1003,4,0,0,2.52
5,-1002,12,0,0,7.5969999999999995
6,-1002,3,0,0,1.9009999999999998
7,-1003,10,0,0,6.312
8,-1000,1,0,0,0.644
9,-32,56,0,1,35.416999999999994
10,-1013,17,0,0,223.666
11,-1006,16,0,1,13.325999999999999
12,-1001,2,0,0,1.2080000000000002
13,-1001,8,0,0,4.831
14,-1004,8,0,0,4.814
15,-1002,3,0,0,1.857
16,-1020,24,0,0,14.551
17,-1014,24,0,0,14.569
18,-1027,34,0,1,20.712
19,-26,50,0,2,30.363999999999997
20,-1001,5,0,0,205.8
21,77,51,1,3,34.576
22,-39,51,0,0,31.46
23,-1019,32,0,2,19.847
24,-1029,30,0,0,18.438
25,-1010,23,0,1,14.272
26,-1014,15,0,0,9.299999999999999
27,-31,52,0,2,32.317
28,-33,48,0,0,29.698999999999998
29,-1014,24,0,0,14.716
30,-999,3,0,0,210.465
31,-1018,22,0,0,16.619
32,-1004,5,0,0,3.0260000000000002
33,-1021,40,0,1,24.315
34,-1005,18,0,0,10.988
35,-33,51,0,1,31.709
36,-998,5,0,0,3.061
37,-1026,36,0,0,22.001
38,-1003,10,0,0,6.111
39,-1015,16,0,0,9.790000000000001
40,-1002,3,0,0,202.989
41,-1011,27,0,1,20.159
42,-1002,6,0,0,3.643
43,-1010,20,0,0,12.161
44,-1013,44,0,3,26.874
45,-1019,23,0,0,14.035
46,-1016,20,0,0,12.189
47,-1023,48,0,1,29.19
48,-1012,19,0,0,11.623
49,-1011,24,0,0,14.541
50,-30,48,0,0,236.982
51,-35,53,0,0,33.459
52,-38,53,0,0,31.962999999999997
53,-1002,3,0,0,1.839
54,-37,49,0,0,29.524
55,-1030,43,0,0,26.031
56,-1021,25,0,0,15.108
57,-1018,22,0,0,13.368
58,-35,53,0,0,32.14
59,-1013,20,0,0,12.3
60,-42,48,0,0,237.85
61,-40,52,0,0,32.230000000000004
62,-1012,25,0,0,15.109
63,-1000,10,0,0,6.072
64,-998,8,0,0,4.884
65,-1006,7,0,0,4.258
66,-1010,17,0,0,10.402
67,-1017,30,0,0,18.233
68,-20,50,0,2,30.445
69,-1019,29,0,1,17.445
70,79,52,1,3,237.583
71,-1009,28,0,1,18.799
72,-28,49,0,2,30.165
73,-37,55,0,1,33.946
74,-1016,23,0,0,14.142999999999999
75,-25,52,0,2,32.068
76,-35,50,0,0,30.74
77,74,48,1,2,29.723
78,-924,29,1,1,17.901
79,-1010,14,0,0,8.602
80,-1019,23,0,0,223.178
81,-1004,5,0,0,4.78
82,-1009,28,0,1,18.504
83,-1022,35,0,0,21.541999999999998
84,-33,48,0,0,29.733
85,-1003,16,0,0,9.884
86,71,51,1,2,31.407999999999998
87,-1010,17,0,0,10.551
88,-1026,33,0,0,20.413
89,-47,56,0,0,34.68
90,-1020,42,0,1,232.954
91,-1004,14,0,0,12.161999999999999
92,-28,52,0,1,31.866
93,-1008,9,0,0,5.531000000000001
94,-1024,31,0,0,18.963
95,74,54,1,2,33.263
96,83,54,1,4,33.15
97,-37,49,0,0,30.0
98,-1026,36,0,0,21.997
99,-1006,10,0,0,6.115
100,-1015,31,0,1,227.95399999999998
101,-31,52,0,2,34.664
102,-34,55,0,1,33.742000000000004
103,-33,54,0,0,33.149
104,-1019,29,0,0,17.862
105,-26,50,0,2,30.636
106,-29,50,0,0,30.849999999999998
107,-30,51,0,0,31.639
108,-25,52,0,2,32.050000000000004
109,72,53,1,2,32.772000000000006
110,-32,53,0,2,240.69099999999997
111,-1001,2,0,0,1.9780000000000002
112,-1009,31,0,1,21.662
113,-1005,6,0,0,3.677
114,-39,54,0,2,33.449
115,-35,53,0,0,32.832
116,-1016,29,0,1,17.784000000000002
117,-1031,38,0,0,23.364
118,75,50,1,3,30.879
119,-1005,12,0,0,7.43
120,-1020,36,0,1,229.904
121,67,55,1,2,37.126
122,-1010,32,0,1,19.681
123,-38,50,0,0,30.684
124,71,51,1,1,31.407999999999998
125,-43,55,0,1,33.777
126,73,52,1,2,32.049
127,-914,37,1,2,22.791
128,-925,45,1,2,27.751
129,-1021,37,0,1,22.848
130,80,48,1,1,242.92
131,-1010,17,0,0,13.168
132,-38,53,0,1,32.612
133,-1007,14,0,0,8.661999999999999
134,72,47,1,1,28.941000000000003
135,-1014,21,0,0,12.897
136,-1000,1,0,0,0.625
137,68,48,1,2,29.564
138,-1026,36,0,0,22.03
139,-1011,18,0,0,10.947000000000001
140,-42,51,0,0,239.474
141,-34,49,0,1,34.217
142,-48,54,0,0,32.955
143,-33,54,0,1,33.138
144,-1000,1,0,0,0.624
145,-1027,40,0,0,24.485
146,-1035,48,0,0,29.317
147,-40,52,0,0,31.929
148,-41,50,0,0,30.625
149,-1003,4,0,0,2.4450000000000003
150,-29,50,0,1,238.90900000000002
151,-39,51,0,0,34.26499999999999
152,-45,51,0,0,31.346
153,-49,58,0,0,35.675
154,-28,52,0,1,32.227
155,-43,52,0,0,31.909
156,-40,55,0,0,33.885
157,-35,50,0,0,30.792
158,-43,55,0,0,33.772000000000006
159,-1009,10,0,0,6.128
160,-39,54,0,0,242.381
161,-49,55,0,0,35.0
162,-1008,9,0,0,5.535
163,-51,57,0,0,35.061
164,-44,50,0,0,30.971
165,-33,54,0,1,33.459999999999994
166,55,52,1,1,32.08
167,-1015,28,0,0,17.357999999999997
168,-30,51,0,2,31.497999999999998
169,-32,50,0,1,30.951
170,-34,49,0,0,238.216
171,-39,51,0,0,34.53
172,67,46,1,1,28.242
173,-48,54,0,0,33.152
174,-45,51,0,0,31.281000000000002
175,-1000,4,0,0,2.457
176,-39,57,0,0,35.051
177,-1004,5,0,0,3.0730000000000004
178,-44,53,0,1,32.567
179,-27,54,0,1,33.126000000000005
180,69,53,1,1,242.41
181,-28,55,0,2,34.055
182,-44,53,0,0,32.453
183,70,52,1,2,31.957
