episode,reward,step,sensitive,compromised,time
1,-98,2,0,0,370.16900000000004
2,-100,7,0,0,4.647
3,-105,6,0,0,3.85
4,188,38,2,3,24.506
5,187,33,2,3,21.195
6,-109,13,0,0,8.325000000000001
7,-114,24,0,0,15.327
8,-102,6,0,0,3.83
9,-127,31,0,0,19.751
10,-102,9,0,0,217.305
11,-4,12,1,1,9.267
12,-37,52,0,0,32.455999999999996
13,-111,24,0,0,15.068
14,-113,17,0,0,10.754
15,-100,1,0,0,0.637
16,-105,6,0,0,3.7720000000000002
17,-126,45,0,0,28.297
18,-118,28,0,0,17.612
19,-101,2,0,0,1.26
20,-121,37,0,1,231.976
21,-131,41,0,0,29.149
22,-9,26,1,1,16.119
23,-107,14,0,0,8.669
24,-100,1,0,0,0.623
25,-107,11,0,0,6.856
26,-14,22,1,1,13.625
27,-19,36,1,2,22.339000000000002
28,-102,3,0,0,1.8699999999999999
29,-12,41,1,2,25.625
30,-111,15,0,0,217.066
31,-116,23,0,0,15.448
32,77,51,1,2,32.148
33,-39,51,0,2,32.550999999999995
34,-34,52,0,1,32.744
35,-112,19,0,0,11.997
36,184,36,2,2,22.758
37,-134,41,0,0,25.922
38,83,48,1,2,30.275
39,-98,8,0,1,5.061000000000001
40,65,51,1,1,242.66899999999998
41,-133,49,0,1,34.413
42,-26,34,1,1,21.277
43,-35,50,0,0,31.413999999999998
44,-108,18,0,0,11.596
45,-127,34,0,0,21.708000000000002
46,-36,54,0,1,34.04
47,-113,32,0,1,20.117
48,-111,15,0,0,9.642
49,179,50,2,4,31.472
50,57,53,1,1,242.145
51,63,50,1,2,34.006
52,-97,7,0,0,4.366
53,192,34,2,2,21.176000000000002
54,-37,49,0,0,30.429000000000002
55,-111,18,0,0,11.121
56,-108,27,0,0,16.82
57,-34,49,0,0,30.441
58,-14,28,1,2,17.384
59,70,49,1,1,30.720999999999997
60,-29,50,0,0,254.94299999999998
61,69,50,1,2,32.97
62,-8,25,1,1,15.630999999999998
63,-24,47,1,2,29.471
64,-102,6,0,0,3.742
65,-112,25,0,0,15.691
66,172,42,2,2,26.297
67,-11,31,1,2,19.41
68,-110,26,0,1,16.282
69,-103,4,0,0,2.493
70,75,50,1,1,243.60899999999998
71,-100,1,0,0,1.032
72,-128,41,0,0,27.601
73,-47,50,0,0,31.394
74,-45,54,0,0,33.842999999999996
75,-20,28,1,1,17.606
76,65,51,1,2,32.254
77,-39,51,0,0,32.158
78,164,47,2,2,29.592
79,65,51,1,1,32.075
80,-32,46,1,1,241.375
81,-119,29,0,0,19.255000000000003
82,-29,43,1,1,27.14
83,-121,43,0,1,27.767
84,69,50,1,1,31.313
85,194,23,2,2,14.444
86,73,49,1,1,30.852
87,-112,16,0,0,10.018
88,-28,48,1,2,30.095
89,-129,45,0,0,28.108
90,-117,24,0,0,226.683
91,190,18,2,2,11.31
92,76,52,1,2,32.114
93,67,52,1,2,32.184999999999995
94,-124,34,0,0,21.017
95,-125,38,0,0,23.546999999999997
96,169,45,2,2,27.848000000000003
97,65,51,1,1,31.481
98,172,39,2,2,24.114
99,192,22,2,2,13.582
100,63,53,1,1,253.463
101,-27,41,1,1,30.203
102,76,52,1,2,34.135
103,65,51,1,1,33.452999999999996
104,-115,31,0,0,20.404
105,-128,38,0,0,24.979000000000003
106,78,50,1,2,32.739999999999995
107,-116,38,0,0,24.868000000000002
108,65,51,1,1,33.129
109,182,26,2,2,16.869
110,77,51,1,3,253.35999999999999
111,-16,36,1,1,23.976
112,-109,22,0,0,14.286999999999999
113,61,52,1,1,33.910999999999994
114,68,51,1,2,33.297
115,-103,7,0,0,4.588
116,-106,22,0,1,14.49
117,195,22,2,2,14.453000000000001
118,73,52,1,1,33.914
119,193,21,2,2,13.825000000000001
120,171,46,2,2,251.102
121,81,50,1,3,33.365
122,-110,20,0,0,12.391
123,-100,1,0,0,0.628
124,-117,27,0,0,16.694
125,70,52,1,1,32.303
126,193,21,2,2,12.968
127,68,51,1,2,31.634000000000004
128,-109,16,0,0,9.897
129,-120,33,0,0,20.42
130,-105,9,0,0,225.20200000000003
131,-104,8,0,0,6.146000000000001
132,-8,25,1,2,15.439
133,-103,7,0,0,4.335999999999999
134,183,28,2,2,17.256
135,-101,8,0,0,4.931
136,-8,13,1,1,8.017
137,71,48,1,1,29.648999999999997
138,193,24,2,2,14.803
139,181,36,2,2,22.325000000000003
140,-8,37,1,3,243.50900000000001
141,-28,45,1,1,30.595000000000002
