episode,reward,step,sensitive,compromised,time
1,-6,2,0,0,369.408
2,-18,20,0,0,12.913
3,-13,18,0,1,11.483
4,-5,1,0,0,0.65
5,-5,1,0,0,0.6489999999999999
6,-8,7,0,0,4.453
7,-11,7,0,0,4.460000000000001
8,-26,37,0,1,23.564999999999998
9,-5,1,0,0,0.648
10,-8,4,0,0,217.235
11,-30,32,0,0,21.930999999999997
12,-31,45,0,2,27.94
13,-7,3,0,0,1.851
14,-7,6,0,0,3.7039999999999997
15,-6,2,0,0,1.2260000000000002
16,-9,5,0,0,3.084
17,-33,51,0,1,31.68
18,-11,13,0,0,8.02
19,-8,7,0,0,4.316000000000001
20,-6,2,0,0,195.259
21,-10,6,0,0,5.766
22,-6,2,0,0,1.464
23,-9,5,0,0,3.231
24,-23,31,0,0,19.64
25,-27,35,0,1,21.66
26,77,26,1,1,16.119999999999997
27,-21,26,0,1,16.111
28,-19,21,0,0,12.953
29,-12,20,0,1,12.311
30,-6,2,0,0,202.459
31,-28,49,0,2,32.125
32,-29,37,0,1,22.661
33,-25,27,0,1,16.657999999999998
34,-1,3,0,0,1.8539999999999999
35,-18,17,0,0,10.453000000000001
36,-30,38,0,0,23.377
37,-30,26,0,0,15.961
38,-19,18,0,0,11.067
39,-9,5,0,0,3.088
40,71,51,1,1,238.69000000000003
41,-13,9,0,0,7.373
42,-17,19,0,0,11.495999999999999
43,-11,10,0,0,6.074999999999999
44,-8,13,0,0,7.95
45,-8,10,0,1,6.172000000000001
46,-15,14,0,0,8.565
47,-9,5,0,0,3.0599999999999996
48,-3,5,0,0,3.048
49,-8,4,0,0,2.438
50,-23,34,0,0,224.123
51,-10,6,0,0,5.418
52,-5,4,0,0,2.422
53,-2,4,0,0,2.455
54,-12,8,0,0,4.838
55,-8,4,0,0,2.443
56,-5,1,0,0,0.617
57,-9,11,0,0,6.713
58,-9,8,0,0,4.852
59,-26,34,0,0,20.741
60,-8,4,0,0,205.604
61,-7,6,0,0,5.747000000000001
62,-5,1,0,0,0.955
63,-16,18,0,0,12.645999999999999
64,-11,13,0,0,7.873
65,-13,18,0,0,11.032
66,-15,17,0,0,10.449
67,-6,2,0,0,1.2249999999999999
68,-21,23,0,0,14.106
69,-7,3,0,0,1.8259999999999998
70,-7,3,0,0,218.578
71,-6,2,0,0,2.174
72,-9,11,0,0,10.33
73,-30,41,0,0,25.267000000000003
74,-14,10,0,0,6.097
75,-9,5,0,0,3.084
76,66,46,1,1,28.285
77,-5,4,0,0,2.4450000000000003
78,-13,12,0,0,7.355
79,-5,1,0,0,0.646
80,-5,1,0,0,213.239
81,-3,5,0,0,3.299
82,-10,12,0,0,7.633
83,-24,38,0,1,23.449
84,-11,10,0,0,6.158
85,-2,4,0,0,2.475
86,-5,1,0,0,0.621
87,-10,9,0,0,5.547
88,-6,2,0,0,1.2429999999999999
89,-3,2,0,0,1.247
90,-12,14,0,0,175.396
91,-5,1,0,0,1.0070000000000001
92,-1,3,0,1,2.936
93,-16,15,0,0,11.895
94,-6,2,0,0,1.222
95,-5,1,0,0,0.618
96,-5,1,0,0,0.622
97,-8,4,0,0,2.451
98,-5,1,0,0,0.617
99,-23,28,0,0,17.16
100,-5,1,0,0,205.568
101,-5,1,0,0,1.0050000000000001
102,-6,2,0,0,1.9200000000000002
103,-6,2,0,0,1.9
104,-9,5,0,0,3.471
105,-5,1,0,0,0.618
106,-14,19,0,0,11.607
107,-6,2,0,0,1.234
108,-7,3,0,0,1.818
109,-5,1,0,0,0.615
110,-6,2,0,0,204.526
111,-11,7,0,0,6.6610000000000005
112,-5,1,0,0,0.9560000000000001
113,-5,1,0,0,0.9779999999999999
114,-6,2,0,0,1.3860000000000001
115,-7,3,0,0,1.814
116,-6,2,0,0,1.214
117,-8,4,0,0,2.448
118,-7,12,0,0,7.36
119,-5,1,0,0,0.62
120,-3,2,0,0,204.45499999999998
121,-11,7,0,0,6.919
122,-15,11,0,0,8.702
123,-3,2,0,0,1.258
124,-5,1,0,0,0.615
125,-9,11,0,0,6.777
126,-5,1,0,0,0.62
127,-5,1,0,0,0.619
128,-6,2,0,0,1.23
129,-3,8,0,0,4.9350000000000005
130,-3,2,0,0,204.55200000000002
131,-4,3,0,0,2.915
132,-5,1,0,0,0.959
133,-8,4,0,0,3.764
134,-6,2,0,0,1.244
135,-7,3,0,0,1.847
136,-5,1,0,0,0.617
137,-5,1,0,0,0.616
138,-5,1,0,0,0.6130000000000001
139,-5,4,0,0,2.4459999999999997
140,-5,1,0,0,217.911
141,-7,3,0,0,3.233
142,-5,4,0,0,4.22
143,-6,2,0,0,2.0509999999999997
144,-2,7,0,0,4.3229999999999995
145,-4,3,0,0,1.859
146,-3,2,0,0,1.2409999999999999
147,-5,1,0,0,0.62
148,-5,1,0,0,0.622
149,-7,3,0,0,1.8439999999999999
150,-4,6,0,0,219.684
151,-7,3,0,0,2.895
152,-5,1,0,0,0.957
153,-6,2,0,0,1.846
154,-6,5,0,0,3.124
155,-3,2,0,0,1.27
156,-5,1,0,0,0.637
157,-5,1,0,0,0.621
158,-5,1,0,0,0.619
159,-1,3,0,0,1.858
160,-3,5,0,0,206.55399999999997
161,-7,6,0,0,5.148
162,-8,13,0,0,7.981
163,-8,10,0,1,6.1659999999999995
164,-5,1,0,0,0.619
165,-6,2,0,0,1.217
166,-11,10,0,0,6.101999999999999
167,-13,18,0,0,11.091
168,-11,19,0,0,11.998999999999999
169,-6,2,0,0,1.236
170,-7,18,0,1,212.024
171,-8,10,0,0,9.604
172,-9,14,0,1,9.58
173,-6,2,0,0,1.246
174,-5,10,0,0,6.167
175,-17,22,0,0,13.592
176,-17,19,0,0,11.769
177,-4,6,0,0,3.714
178,-3,5,0,0,3.09
179,-6,8,0,0,4.994
180,-6,2,0,0,204.397
181,-5,1,0,0,0.9970000000000001
182,-5,4,0,0,3.797
183,-6,5,0,0,3.846
184,-5,1,0,0,0.622
185,-5,4,0,0,2.454
186,-4,3,0,0,1.8339999999999999
187,-8,7,0,0,4.273
188,-7,3,0,0,1.843
189,-3,5,0,0,3.0599999999999996
190,-8,7,0,0,208.149
191,-5,7,0,1,5.777
192,-12,17,0,1,10.442
193,-4,9,0,0,5.511
194,-4,6,0,0,3.676
195,0,11,0,0,6.747000000000001
196,-4,3,0,0,1.8370000000000002
197,-7,3,0,0,1.851
198,-7,6,0,0,3.675
199,-6,5,0,0,3.0660000000000003
200,-14,10,0,0,213.972
201,-3,2,0,0,1.966
202,-2,4,0,0,2.568
203,-6,11,0,0,6.741
204,-6,2,0,0,1.237
205,-6,5,0,0,3.084
206,-5,1,0,0,0.622
207,-5,1,0,0,0.63
208,-4,3,0,0,1.8550000000000002
209,-3,2,0,0,1.23
210,-8,10,0,0,208.823
211,-3,2,0,0,1.954
212,-4,3,0,0,2.9459999999999997
213,-3,2,0,0,1.9020000000000001
214,-7,21,0,1,13.812
215,-4,9,0,0,5.558
216,-5,1,0,0,0.624
217,-3,5,0,0,3.089
218,-4,3,0,0,1.8699999999999999
219,-1,6,0,0,3.731
220,-4,3,0,0,203.774
221,-1,9,0,0,8.609
222,-16,24,0,0,16.538
223,90,22,1,1,13.519
224,-5,1,0,0,0.615
225,-5,1,0,0,0.621
226,-6,11,0,1,6.813
227,-19,21,0,0,12.952
228,-7,9,0,1,5.566
229,-6,14,0,0,8.612
230,-7,9,0,0,208.76500000000001
231,-5,7,0,0,6.684
232,-10,18,0,1,12.312
233,-5,1,0,0,0.626
234,-5,1,0,0,0.622
235,-4,9,0,0,5.552
236,-4,3,0,0,1.848
237,-3,2,0,0,1.24
238,-10,9,0,0,5.589
239,-5,1,0,0,0.636
240,-10,12,0,0,210.484
241,-1,3,0,0,2.8930000000000002
242,-3,2,0,0,1.7799999999999998
243,-1,9,0,0,5.569
244,-4,3,0,0,1.859
245,-5,1,0,0,0.619
246,-3,5,0,0,3.085
247,-5,4,0,0,2.454
248,-7,6,0,0,3.701
249,-5,7,0,0,4.328
250,-6,2,0,0,204.34199999999998
251,-3,5,0,0,4.75
252,-2,13,0,0,7.912000000000001
253,-6,2,0,0,1.216
254,0,5,0,0,3.07
255,90,19,1,1,11.559
256,-6,8,0,0,4.904999999999999
257,-1,3,0,0,1.822
258,-1,3,0,0,1.859
259,-1,6,0,0,3.673
260,2,6,0,1,205.078
261,-6,8,0,0,7.295
262,-13,12,0,0,7.471
263,-4,3,0,0,1.84
264,-5,7,0,0,4.278
265,-8,16,0,0,9.789000000000001
266,-8,4,0,0,2.426
267,-5,4,0,0,2.455
268,-4,3,0,0,1.85
