scenario,algorithm,total_devices,sensitive_devices,techniques,sensitive_compromised,total_compromised,reward,steps,compromised_rate
white_normal_10_2_5,dqn,10,2,5,0.581,1.359,30.709,49.61,0.2905
white_normal_10_2_5,ddqn,10,2,5,0.523,1.118,21.825,49.966,0.2615
white_normal_10_2_5,dueling_dqn,10,2,5,0.447,1.016,12.958,49.951,0.2235
white_normal_10_2_5,a2c,10,2,5,0.911,1.22,53.516,50.275,0.4555
white_normal_10_2_5,ppo,10,2,5,1.691,1.863,156.84,30.61,0.8455
white_normal_10_4_5,dqn,10,4,5,0.745,1.318,45.901,49.371,0.18625
white_normal_10_4_5,ddqn,10,4,5,0.605,1.095,29.206,49.553,0.15125
white_normal_10_4_5,dueling_dqn,10,4,5,0.536,0.976,21.487,49.625,0.134
white_normal_10_4_5,a2c,10,4,5,0.508,0.546,4.969,50.913,0.127
white_normal_10_4_5,ppo,10,4,5,3.047,3.283,289.301,44.744,0.76175
white_normal_10_6_5,dqn,10,6,5,1.335,1.481,98.427,52.766,0.2225
white_normal_10_6_5,ddqn,10,6,5,1.268,1.402,90.626,52.663,0.211333333
white_normal_10_6_5,dueling_dqn,10,6,5,1.272,1.431,91.244,52.278,0.212
white_normal_10_6_5,a2c,10,6,5,2.182,2.205,178.979,58.499,0.363666667
white_normal_10_6_5,ppo,10,6,5,3.878,4.044,369.124,51.798,0.646333333
white_normal_10_8_5,dqn,10,8,5,1.565,1.565,120.54,52.461,0.195625
white_normal_10_8_5,ddqn,10,8,5,1.475,1.482,110.984,52.507,0.184375
white_normal_10_8_5,dueling_dqn,10,8,5,1.433,1.434,106.808,52.213,0.179125
white_normal_10_8_5,a2c,10,8,5,2.677,2.679,231.431,53.885,0.334625
white_normal_10_8_5,ppo,10,8,5,4.03,4.054,380.526,53.066,0.50375
white_normal_10_10_5,dqn,10,10,5,1.535,1.535,117.815,52.39,0.1535
white_normal_10_10_5,ddqn,10,10,5,1.443,1.443,107.832,52.328,0.1443
white_normal_10_10_5,dueling_dqn,10,10,5,1.47,1.47,110.753,52.146,0.147
white_normal_10_10_5,a2c,10,10,5,2.261,2.261,186.489,55.341,0.2261
white_normal_10_10_5,ppo,10,10,5,3.762,3.762,353.557,51.749,0.3762
white_simple_10_2_5,dqn,10,2,5,1.206,4.389,94.567,50.557,0.603
white_simple_10_2_5,ddqn,10,2,5,1.063,4.067,77.71,52.065,0.5315
white_simple_10_2_5,dueling_dqn,10,2,5,1.075,4.055,79.711,50.727,0.5375
white_simple_10_2_5,a2c,10,2,5,1.677,1.789,142.451,32.679,0.8385
white_simple_10_2_5,ppo,10,2,5,1.91,3.407,186.01,23.469,0.955
white_medium_10_2_5,dqn,10,2,5,0.061,0.634,-8.616,36.106,0.0305
white_medium_10_2_5,ddqn,10,2,5,0.055,0.47,-12.591,36.685,0.0275
white_medium_10_2_5,dueling_dqn,10,2,5,0.056,0.412,-15.043,37.093,0.028
white_medium_10_2_5,a2c,10,2,5,0.593,0.636,30.999,36.294,0.2965
white_medium_10_2_5,ppo,10,2,5,1.033,1.173,91.595,34.053,0.5165
white_hard_10_2_5,dqn,10,2,5,0.027,0.074,-16.903,33.474,0.0135
white_hard_10_2_5,ddqn,10,2,5,0.019,0.038,-21.376,33.182,0.0095
white_hard_10_2_5,dueling_dqn,10,2,5,0.007,0.016,-24.693,32.959,0.0035
white_hard_10_2_5,a2c,10,2,5,0.479,0.591,21.133,33.167,0.2395
white_hard_10_2_5,ppo,10,2,5,0.546,0.638,37.855,34.313,0.273
white_normal_10_2_10,dqn,10,2,10,0.343,0.812,2.926,47.184,0.1715
white_normal_10_2_10,ddqn,10,2,10,0.173,0.394,-18.912,46.272,0.0865
white_normal_10_2_10,dueling_dqn,10,2,10,0.108,0.265,-27.064,46.032,0.054
white_normal_10_2_10,a2c,10,2,10,0.931,0.933,41.569,55.047,0.4655
white_normal_10_2_10,ppo,10,2,10,0.931,1.391,65.95,46.807,0.4655
white_normal_10_2_15,dqn,10,2,15,0.164,0.362,-18.259,44.215,0.082
white_normal_10_2_15,ddqn,10,2,15,0.068,0.138,-31.077,43.455,0.034
white_normal_10_2_15,dueling_dqn,10,2,15,0.061,0.098,-32.649,43.216,0.0305
white_normal_10_2_15,a2c,10,2,15,0.937,0.944,40.204,58.329,0.4685
white_normal_10_2_15,ppo,10,2,15,0.756,0.868,43.502,44.845,0.378
white_normal_10_2_20,dqn,10,2,20,0.073,0.157,-36.37,49.973,0.0365
white_normal_10_2_20,ddqn,10,2,20,0.062,0.115,-39.61,49.987,0.031
